symbol,side,entry_date,entry_price,sl_price,tp_price,dqs_score,regime,strategy,approved,reject_reason,promoted,exit_date,exit_price,exit_reason,hours_held,pnl_usd,pnl_pct,risk_usd,kelly_fraction,win,notes,intent,outcome,crowded,data_quality,sl_original,atr_at_entry,calibration_prob,calibration_level
SOLUSDT,SHORT,2026-01-01 12:30:00,125.08,125.7679,124.52968,62.66,MIXED,mean_reversion,False,CorrelationGuard: SOLUSDT already has open position,False,,0,REJECTED,0,0,0,10.937609999999985,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.7679,0.22928571428571587,0.0,
SOLUSDT,SHORT,2026-01-01 12:45:00,124.96,125.6221,124.43032,50.53,MIXED,mean_reversion,False,RegimeGate: DQS 51 < 60 for MIXED,False,,0,REJECTED,0,0,0,10.593600000000151,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.6221,0.220714285714288,0.0,
XRPUSDT,LONG,2026-01-01 13:00:00,1.8542,1.8462,1.8606,54.04,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,8.624000000000008,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8462,0.002664285714285738,0.0,
BTCUSDT,LONG,2026-01-01 13:15:00,87942.7,87708.2714,88130.24288,53.56,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,5.157429199999984,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87708.2714,78.14285714285923,0.0,
BTCUSDT,LONG,2026-01-01 13:30:00,87942.2,87706.2286,88178.1714,53.56,MIXED,trend_following,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,5.191370799999888,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87706.2286,78.65714285714368,0.0,
ETHUSDT,LONG,2026-01-01 14:00:00,2981.22,2961.24,3007.194,62.26,VOLATILE,mean_reversion,False,CalibrationGate: prob 0.35 < 0.48 (global_curve),False,,0,REJECTED,0,0,0,13.386600000000014,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2961.24,4.439999999999925,0.3478,global_curve
SOLUSDT,SHORT,2026-01-01 14:00:00,124.78,125.4614,124.23488,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,10.902399999999943,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.4614,0.22714285714285967,0.0,
SOLUSDT,SHORT,2026-01-01 14:15:00,124.49,125.2314,123.7486,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,11.86239999999998,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.2314,0.24714285714285872,0.0,
BTCUSDT,LONG,2026-01-01 14:30:00,87852.0,87574.65,88129.35,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,6.101700000000128,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87574.65,92.44999999999916,0.0,
SOLUSDT,SHORT,2026-01-01 14:30:00,124.62,125.4043,123.8357,50.38,MIXED,mean_reversion,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,12.548800000000028,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.4043,0.26142857142857323,0.0,
BTCUSDT,LONG,2026-01-01 14:45:00,87915.4,87632.1143,88198.6857,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,6.2322853999998475,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87632.1143,94.4285714285704,0.0,
SOLUSDT,SHORT,2026-01-01 14:45:00,124.69,125.455,123.925,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,12.240000000000009,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,125.455,0.25500000000000156,0.0,
SOLUSDT,SHORT,2026-01-01 12:30:00,125.08,125.08,124.3921,62.66,MIXED,mean_reversion,True,,True,2026-01-01 15:45:00,125.08,SL_HIT,3.25,-2.19,-20.0,10.94,0.8999999999999999,False,treatment_b_phase2,TRADE,LOSS,False,100.0,125.7679,0.22928571428571587,0.0,
BTCUSDT,LONG,2026-01-01 12:30:00,87931.9,87931.9,88162.3857,61.08,MIXED,mean_reversion,True,,True,2026-01-01 16:00:00,87931.9,SL_HIT,3.5,-2.13,-41.97,5.07,0.8999999999999999,False,treatment_b_phase2,TRADE,LOSS,False,100.0,87701.4143,76.82857142857392,0.0,
SOLUSDT,LONG,2026-01-01 18:30:00,125.22,124.05,126.741,51.82,MIXED,trend_following,False,RegimeGate: DQS 52 < 60 for MIXED,False,,0,REJECTED,0,0,0,18.603000000000026,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,124.05,0.3900000000000036,0.0,
XRPUSDT,LONG,2026-01-01 18:30:00,1.8678,1.8516,1.88886,55.18,MIXED,mean_reversion,False,RegimeGate: DQS 55 < 60 for MIXED,False,,0,REJECTED,0,0,0,17.333999999999993,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8516,0.005407142857142848,0.0,
BTCUSDT,LONG,2026-01-01 18:45:00,88166.0,87732.5,88729.55,51.82,MIXED,trend_following,False,RegimeGate: DQS 52 < 60 for MIXED,False,,0,REJECTED,0,0,0,9.536999999999999,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87732.5,144.5,0.0,
SOLUSDT,LONG,2026-01-01 18:45:00,125.3,124.1793,126.75691,51.82,MIXED,trend_following,False,RegimeGate: DQS 52 < 60 for MIXED,False,,0,REJECTED,0,0,0,17.81912999999999,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,124.1793,0.3735714285714319,0.0,
XRPUSDT,LONG,2026-01-01 18:45:00,1.8684,1.8528,1.88868,55.18,MIXED,mean_reversion,False,RegimeGate: DQS 55 < 60 for MIXED,False,,0,REJECTED,0,0,0,16.692000000000064,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8528,0.005214285714285711,0.0,
BTCUSDT,LONG,2026-01-01 19:00:00,88085.9,87668.3429,88628.72423,55.18,MIXED,trend_following,False,RegimeGate: DQS 55 < 60 for MIXED,False,,0,REJECTED,0,0,0,9.1862561999998,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87668.3429,139.18571428571366,0.0,
