symbol,side,entry_date,entry_price,sl_price,tp_price,dqs_score,regime,strategy,approved,reject_reason,promoted,exit_date,exit_price,exit_reason,hours_held,pnl_usd,pnl_pct,risk_usd,kelly_fraction,win,notes,intent,outcome,crowded,data_quality,sl_original,atr_at_entry,calibration_prob,calibration_level
XRPUSDT,LONG,2026-01-01 12:30:00,1.852,1.8433,1.85896,54.04,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,179.99952000000317,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8433,0.0028999999999999976,0.0,
XRPUSDT,LONG,2026-01-01 12:45:00,1.8517,1.8437,1.8581,54.04,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,172.81360000000015,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8437,0.002678571428571435,0.0,
XRPUSDT,LONG,2026-01-01 13:00:00,1.8542,1.8462,1.8606,54.04,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,172.58080000000018,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8462,0.002664285714285738,0.0,
BTCUSDT,LONG,2026-01-01 13:15:00,87942.7,87708.2714,88130.24288,53.56,MIXED,mean_reversion,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,106.43058439999967,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87708.2714,78.14285714285923,0.0,
BTCUSDT,LONG,2026-01-01 13:30:00,87942.2,87706.2286,88178.1714,53.56,MIXED,trend_following,False,RegimeGate: DQS 54 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.936735599998705,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87706.2286,78.65714285714368,0.0,
ETHUSDT,LONG,2026-01-01 14:00:00,2981.22,2961.24,3007.194,62.26,VOLATILE,mean_reversion,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,179.82000000000016,0.8999999999999999,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2961.24,4.439999999999925,0.3478,global_curve
ETHUSDT,LONG,2026-01-01 14:15:00,2978.48,2957.6225,3005.59475,68.06,VOLATILE,mean_reversion,False,CalibrationGate: prob 0.35 < 0.40 (global_curve),False,,0,REJECTED,0,0,0,279.90765000000096,2.0999999999999996,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,2957.6225,4.634999999999926,0.3478,global_curve
XRPUSDT,LONG,2026-01-01 14:15:00,1.8524,1.842,1.8663,67.38,MIXED,trend_following,True,Below min notional ($0.00),False,2026-01-01 14:30:00,0,EXPIRED,0,0,0,104.99995999999966,0.35,False,treatment_b_phase2,TRADE,EXPIRED,False,0.0,0.0,0.0,0.0,
BTCUSDT,LONG,2026-01-01 14:30:00,87852.0,87574.65,88129.35,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.90760000000126,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87574.65,92.44999999999916,0.0,
BTCUSDT,LONG,2026-01-01 14:45:00,87915.4,87632.1143,88198.6857,50.38,MIXED,trend_following,False,RegimeGate: DQS 50 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.77328269999854,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,87632.1143,94.4285714285704,0.0,
XRPUSDT,LONG,2026-01-01 14:45:00,1.8552,1.8445,1.8659,55.18,MIXED,trend_following,False,RegimeGate: DQS 55 < 60 for MIXED,False,,0,REJECTED,0,0,0,59.999179999999626,0.3,False,treatment_b_phase2,REJECT,NOT_TRADED,False,100.0,1.8445,0.0035714285714285904,0.0,
