id,run_time,pipeline_run_id,symbol,scan_id,live_dqs,live_side,live_strategy,live_session,live_tech_raw,live_struct_raw,live_ctx_raw,live_decision,shadow_dqs_empirical,shadow_dqs_delta,shadow_kelly_mult,shadow_kelly_vetoed,shadow_crowded,shadow_crowd_penalty,shadow_cascade_vetoed,shadow_cascade_reason,shadow_crowd_vetoed,shadow_crowd_ls_ratio,shadow_dqs85_vetoed,shadow_decision,shadow_dqs_final,shadow_position_mult,data_quality_score,data_quality_gated,breakdown,actual_pnl,actual_outcome,resolved_at
13,2026-07-04 17:55:24.76757,2026-07-04T17:55:24.767570+00:00,BTCUSDT,f979b746-5452-4243-8091-5415045efd1c,84.00,LONG,trend_following,overlap,44.00,62.50,80.00,APPROVED,50.99,-33.01,2.50,f,f,0.00,f,,f,,f,BOOSTED,84.00,2.50,82.93,f,"{""kelly"": {""mult"": 2.5, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 0}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 82.93, ""outlier"": 100.0, ""freshness"": 57.33, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
14,2026-07-04 17:55:24.76757,2026-07-04T17:55:24.767570+00:00,ETHUSDT,676db061-301c-4a28-83fd-3f3cf6088d1e,63.32,SHORT,mean_reversion,overlap,66.00,58.00,55.00,APPROVED,71.04,7.72,0.50,f,f,0.00,f,,f,,f,REDUCED,63.32,0.50,82.93,f,"{""kelly"": {""mult"": 0.5, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 0}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 82.93, ""outlier"": 100.0, ""freshness"": 57.33, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
15,2026-07-04 17:55:24.76757,2026-07-04T17:55:24.767570+00:00,SOLUSDT,b3beb40a-af36-48f3-80f3-3639b3a07fef,78.23,LONG,trend_following,overlap,33.50,64.50,80.00,APPROVED,36.61,-41.62,2.00,f,f,0.00,f,,f,,f,BOOSTED,78.23,2.00,82.93,f,"{""kelly"": {""mult"": 2.0, ""vetoed"": false}, ""crowding"": {""detail"": {""cluster_size"": 0}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 82.93, ""outlier"": 100.0, ""freshness"": 57.33, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
17,2026-07-04 19:50:47.569366,2026-07-04T19:50:47.569366+00:00,BTCUSDT,415b4578-82f1-4a47-bd2a-64891694de54,84.00,LONG,trend_following,overlap,44.00,62.50,80.00,APPROVED,50.99,-33.01,2.50,f,f,0.00,f,,f,,f,BOOSTED,84.00,2.50,86.08,f,"{""kelly"": {""mult"": 2.5, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 86.08, ""outlier"": 100.0, ""freshness"": 65.19, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
19,2026-07-04 22:06:40.847988,2026-07-04T22:06:40.847988+00:00,XRPUSDT,6fc76c37-7141-422a-92b2-5ce7e25f2d63,70.89,SHORT,trend_following,ny_late,26.50,62.50,85.00,APPROVED,34.95,-35.94,1.50,f,f,0.00,f,,f,,f,BOOSTED,70.89,1.50,85.48,f,"{""kelly"": {""mult"": 1.5, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 85.48, ""outlier"": 100.0, ""freshness"": 63.71, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
20,2026-07-04 22:21:46.746213,2026-07-04T22:21:46.746213+00:00,SOLUSDT,94194ada-8c4e-418e-aea5-a2b2ef0d54a3,68.95,LONG,trend_following,ny_late,38.50,59.50,85.00,APPROVED,33.88,-35.07,0.23,f,f,0.00,f,,f,,f,REDUCED,68.95,0.23,85.42,f,"{""kelly"": {""mult"": 0.23, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 85.42, ""outlier"": 100.0, ""freshness"": 63.55, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
21,2026-07-04 23:07:07.633041,2026-07-04T23:07:07.633041+00:00,SOLUSDT,03c3a56e-f879-4762-9b33-daa8f389ec08,78.81,LONG,trend_following,ny_late,23.50,64.50,85.00,APPROVED,33.28,-45.53,2.00,f,f,0.00,f,,f,,f,BOOSTED,78.81,2.00,85.19,f,"{""kelly"": {""mult"": 2.0, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 85.19, ""outlier"": 100.0, ""freshness"": 62.98, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
22,2026-07-04 23:22:14.106122,2026-07-04T23:22:14.106122+00:00,ETHUSDT,a11e3110-71be-4cd1-9187-a6064225e349,50.86,SHORT,trend_following,ny_late,30.50,76.50,60.00,APPROVED,35.72,-15.14,0.50,f,f,0.00,f,,f,,f,REDUCED,50.86,0.50,85.11,f,"{""kelly"": {""mult"": 0.5, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 85.11, ""outlier"": 100.0, ""freshness"": 62.78, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
23,2026-07-04 23:37:21.18334,2026-07-04T23:37:21.183340+00:00,ETHUSDT,330d3055-f34e-4681-9ed5-a7f8c201dfa0,61.04,SHORT,trend_following,ny_late,35.75,76.50,60.00,APPROVED,46.31,-14.73,1.00,f,f,0.00,f,,f,,f,SAME,61.04,1.00,95.04,f,"{""kelly"": {""mult"": 1.0, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 95.04, ""outlier"": 100.0, ""freshness"": 87.59, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",,,
16,2026-07-04 19:35:37.224835,2026-07-04T19:35:37.224835+00:00,BTCUSDT,80a1ea96-6908-4e1d-b065-1473d00af927,84.00,LONG,trend_following,overlap,44.00,58.50,80.00,APPROVED,50.66,-33.34,2.50,f,f,0.00,f,,f,,f,BOOSTED,84.00,2.50,86.17,f,"{""kelly"": {""mult"": 2.5, ""vetoed"": false}, ""crowding"": {""detail"": {}, ""crowded_symbols"": []}, ""data_quality"": {""gated"": false, ""score"": 86.17, ""outlier"": 100.0, ""freshness"": 65.43, ""completeness"": 100.0}, ""current_weights"": {""context"": 0.3, ""structure"": 0.3, ""technical"": 0.4}, ""empirical_weights"": {""context"": 0.2, ""structure"": 0.07, ""technical"": 0.73}}",-16.59,f,2026-07-05 01:38:13.021074
