id,scan_time_utc,signal_bar_utc,symbol,confidence,grade,signal_strength,action,summary,technical_score,market_structure_score,funding_oi_score,session_symbol_score,price_at_signal,rsi_15m,adx_4h,atr_15m,sl_price,tp_price,sl_distance_pct,tp_distance_pct,risk_reward,dollar_risk,position_size_1x,leveraged_notional,qty_contracts,session,h4_direction,funding_rate,oi_delta_pct,ob_spread_pct,ob_imbalance_pct,trade_decision,created_at,is_expired,expiry_reason,actual_dollar_risk,leverage,brain_confidence_fused,brain_shadow_mode,calibrated_confidence,information_ratio,margin_required,liquidation_price,maintenance_margin,strategy,tech_raw,struct_raw,ctx_raw,trend_mult,session_mult,symbol_mult,combined_mult,mult_cap_hit,rsi_overbought_long,regime,calibrated_prob,scan_id
7,2026-07-17 02:18:04,2026-07-17 02:00:00,BTCUSDT,79,EXCELLENT,EXCELLENT,,,36,85,85,75,63545.20000000,25.33,46.42,163.05714286,64034.37140000,62729.91430000,0.7698,1.2830,1.67,15.16,1969.90,7879.60,0.0310,asian,DOWN,0.0000117100,-0.3040,0.0002,-90.7201,SHORT,2026-07-17 02:13:04.864564,t,Auto-expired: stale (>45min),15.16,4.00,,t,0.5000,,493.56000000,79148.72390000,9.8495,trend_following,35.75,84.50,75.00,1.200,1.000,1.420,1.200,t,f,MIXED,0.5000,2f61cf41-3441-4583-b025-6e75c08ae17d
1,2026-07-15 07:44:04,2026-07-15 07:00:00,XRPUSDT,67,GOOD,GOOD,,,31,65,65,95,1.10620000,59.84,34.38,0.00358571,1.09540000,1.12050000,0.9763,1.2927,1.33,19.52,1998.90,7995.61,1807.0000,london,UP,0.0001000000,1.9420,0.0090,11.8444,LONG,2026-07-15 07:39:04.361936,t,Auto-expired: stale (>45min),19.52,4.00,,t,0.5000,,500.83000000,0.83460000,9.9945,trend_following,30.50,65.25,95.00,1.000,1.260,1.200,1.200,t,f,MIXED,0.5000,7968a304-d01e-4909-8e8f-4691479dabad
2,2026-07-16 08:35:52,2026-07-16 08:00:00,BTCUSDT,62,FAIR,FAIR,,,27,81,81,95,63913.00000000,25.94,26.42,170.29285714,64679.31790000,62916.78673000,1.1990,1.5587,1.30,23.76,1981.30,7925.21,0.0310,london,DOWN,0.0000381000,-2.4540,0.0002,-49.7484,SHORT,2026-07-16 08:36:28.682934,t,Auto-expired: stale (>45min),23.76,4.00,,t,0.5000,,496.42000000,79606.83720000,9.9065,trend_following,26.50,80.50,95.00,0.800,1.260,1.420,1.200,t,f,VOLATILE,0.5000,11faf16d-d0b0-4334-999d-3af12cd6566d
3,2026-07-16 18:52:32,2026-07-16 18:30:00,XRPUSDT,76,EXCELLENT,EXCELLENT,,,82,54,54,80,1.08810000,27.58,32.30,0.00566429,1.07110000,1.11640000,1.5624,3.3811,2.16,31.25,1999.93,7999.71,1838.0000,overlap,DOWN,0.0001000000,-0.4260,0.0092,-48.7000,LONG,2026-07-16 18:47:32.178385,t,Auto-expired: stale (>45min),31.25,4.00,,t,0.5000,,501.08000000,0.82090000,9.9996,mean_reversion,82.00,53.50,80.00,1.000,0.820,1.200,0.980,f,f,MIXED,0.5000,2a70eaff-c6c0-4d2b-96d0-c0d788112426
4,2026-07-16 22:11:36,2026-07-16 21:45:00,SOLUSDT,77,EXCELLENT,EXCELLENT,,,51,64,64,85,75.86000000,53.23,42.32,0.19714286,76.45140000,74.87430000,0.7796,1.0395,1.33,15.55,1995.12,7980.47,26.3000,ny_late,DOWN,0.0000044800,1.1430,0.0132,13.4209,SHORT,2026-07-16 22:06:36.314041,t,Auto-expired: stale (>45min),15.55,4.00,,t,0.5000,,499.88000000,94.48740000,9.9756,trend_following,50.75,63.50,85.00,1.200,0.850,1.450,1.200,t,f,MIXED,0.5000,44ec1bf7-fa23-4a16-9816-39eceea609a4
8,2026-07-17 03:55:40,2026-07-17 03:30:00,SOLUSDT,70,GOOD,GOOD,,,46,60,60,75,75.22000000,50.48,36.68,0.28500000,76.07500000,74.08000000,1.1367,1.5156,1.33,22.66,1993.33,7973.32,26.5000,asian,DOWN,-0.0000480400,-1.4770,0.0133,3.4881,SHORT,2026-07-17 03:50:40.487871,t,Auto-expired: stale (>45min),22.66,4.00,,t,0.5000,,499.43000000,93.69030000,9.9666,trend_following,45.50,60.00,75.00,1.000,1.000,1.450,1.200,t,f,MIXED,0.5000,3676f887-34fd-45fe-8ae0-fbdab4e18573
5,2026-07-16 23:43:43,2026-07-16 23:30:00,BTCUSDT,61,FAIR,FAIR,,,31,58,58,85,63787.00000000,27.03,30.61,110.36428571,64118.09290000,63455.90710000,0.5191,0.4152,0.80,10.26,1977.40,7909.59,0.0310,ny_late,DOWN,0.0000312300,-0.6600,0.0002,22.4495,SHORT,2026-07-16 23:38:42.911838,t,Auto-expired: stale (>45min),10.26,4.00,,t,0.5000,,495.44000000,79449.89790000,9.8870,trend_following,30.50,58.00,85.00,1.000,0.850,1.420,1.200,t,f,MIXED,0.5000,98a2c0e6-77c2-42b0-b1ce-d9d4834d1a96
6,2026-07-17 01:00:48,2026-07-17 00:45:00,ETHUSDT,78,EXCELLENT,EXCELLENT,,,69,80,80,50,1861.43000000,29.03,32.75,6.37500000,1880.55500000,1829.55500000,1.0274,1.7124,1.67,20.54,1999.18,7996.70,1.0740,asian,DOWN,0.0000453000,-4.6880,0.0005,41.6703,SHORT,2026-07-17 00:55:48.514429,t,Auto-expired: stale (>45min),20.54,4.00,,t,0.5000,,500.89000000,2318.50410000,9.9959,trend_following,68.50,80.00,50.00,1.000,1.000,0.880,0.880,f,f,MIXED,0.5000,9e747f59-c87b-421c-972e-6a30a16bea4f
13,2026-07-17 13:06:41,2026-07-17 10:30:00,BTCUSDT,78,EXCELLENT,EXCELLENT,,,0,0,0,0,63114.10000000,60.20,27.59,117.93571429,62760.29290000,63703.77860000,0.0000,0.0000,0.00,10.97,0.00,7826.15,0.0310,london,DOWN,0.0000000000,0.0000,0.0000,0.0000,SHORT,2026-07-17 11:49:26.754346,t,DQS dropped below 50 on reprice,10.97,4.00,,t,0.5000,,0.00000000,,,trend_following,,,,,,,,f,f,,0.5000,
11,2026-07-17 09:40:08,2026-07-17 09:15:00,XRPUSDT,78,EXCELLENT,EXCELLENT,,,31,71,71,95,1.08720000,68.72,37.98,0.00322143,1.07750000,1.10330000,0.8922,1.4809,1.67,17.84,1999.36,7997.44,1839.0000,london,UP,-0.0000339600,-12.9330,0.0092,-24.3225,LONG,2026-07-17 09:35:08.528975,t,Auto-expired: stale (>45min),17.84,4.00,,t,0.5000,,500.94000000,0.82020000,9.9968,trend_following,30.50,70.50,95.00,1.000,1.260,1.200,1.200,t,f,MIXED,0.5000,6e1cbc78-7683-476d-a35b-f0c645a8d519
12,2026-07-17 10:00:46,2026-07-17 09:45:00,BNBUSDT,77,EXCELLENT,EXCELLENT,,,79,60,60,63,565.10000000,29.27,55.47,1.19285714,568.67860000,559.13570000,0.6333,1.0554,1.67,12.63,1994.80,7979.21,3.5300,london,DOWN,-0.0000437600,0.4170,0.0177,-5.3199,SHORT,2026-07-17 09:55:46.400731,t,Auto-expired: stale (>45min),12.63,4.00,,t,0.5000,,499.80000000,703.86030000,9.9740,trend_following,79.00,60.00,62.50,1.350,1.260,0.550,0.940,f,f,MIXED,0.5000,eef76d71-1b5c-46ac-96eb-0db118569209
9,2026-07-17 05:54:02,2026-07-17 05:30:00,ETHUSDT,74,GOOD,GOOD,,,66,84,84,50,1835.09000000,30.69,39.41,6.25857143,1853.86570000,1810.05570000,1.0231,1.3642,1.33,20.45,1998.41,7993.65,1.0890,asian,DOWN,0.0000453000,-3.9680,0.0005,55.1348,SHORT,2026-07-17 05:49:01.970475,t,Auto-expired: stale (>45min),20.45,4.00,,t,0.5000,,500.70000000,2285.69630000,9.9921,trend_following,65.50,84.00,50.00,1.000,1.000,0.880,0.880,f,f,MIXED,0.5000,ed4cb761-0a19-478b-ba67-3b93aab91922
10,2026-07-17 06:24:55,2026-07-17 06:00:00,BTCUSDT,76,EXCELLENT,EXCELLENT,,,31,93,93,75,62760.00000000,23.99,35.01,166.93571429,63260.80710000,61925.32140000,0.7980,1.3300,1.67,15.53,1945.56,7782.24,0.0310,asian,DOWN,0.0000117100,1.0550,0.0002,-41.9227,SHORT,2026-07-17 06:19:55.649725,t,Auto-expired: stale (>45min),15.53,4.00,,t,0.5000,,487.46000000,78170.71800000,9.7278,trend_following,30.50,93.00,75.00,1.000,1.000,1.420,1.200,t,f,MIXED,0.5000,914e5fec-2179-4075-b665-6fca6518e73e
29,2026-07-17 13:47:36,2026-07-17 13:30:00,ETHUSDT,72,GOOD,GOOD,,,84,58,58,63,1807.56000000,19.80,30.46,6.59357143,1837.23110000,1777.88890000,1.6415,1.6415,1.00,32.82,1999.16,7996.65,1.1060,ny_open,DOWN,0.0000117700,-4.0090,0.0006,-28.3601,SHORT,2026-07-17 13:42:36.745771,t,Auto-expired: stale (>45min),32.82,4.00,,t,0.5000,,500.89000000,2251.40640000,9.9958,trend_following,83.50,57.50,62.50,1.000,1.150,0.880,1.010,f,f,VOLATILE,0.5000,aab61942-d318-4adc-91e7-8d49e89726c2
28,2026-07-17 13:42:31,2026-07-17 13:00:00,BTCUSDT,52,FAIR,FAIR,,,27,88,88,88,62669.60000000,31.71,32.08,144.32142857,63102.56430000,62236.63570000,0.6338,0.8450,1.33,13.42,1946.22,7771.03,0.0310,ny_open,DOWN,-0.0000118400,6.8470,0.0002,-92.9122,SHORT,2026-07-17 13:37:30.950711,t,Replaced by newer signal_bar,13.42,4.00,,t,0.5000,,487.63000000,78197.37280000,9.7311,trend_following,26.50,88.00,87.50,0.800,1.150,1.420,1.200,t,f,MIXED,0.5000,7b732dfd-73cb-476c-9df8-cb764a0536a7
