id,symbol,timeframe,data_type,rows_existing,rows_fetched,rows_final,gaps_found,status,issues,fetched_at
65004,BNBUSDT,1m,ohlcv,60731,13,60741,0,ok,"",2026-07-21 14:34:29.298772+00
65003,XRPUSDT,1m,ohlcv,60730,13,60740,0,ok,"",2026-07-21 14:33:30.805101+00
65002,BTCUSDT,15m,ohlcv,124570,4,124571,0,ok,"",2026-07-21 14:33:06.044707+00
65001,SOLUSDT,1m,ohlcv,60729,13,60739,0,ok,"",2026-07-21 14:32:42.893258+00
65000,ETHUSDT,1m,ohlcv,57545,8,57550,0,ok,"",2026-07-21 14:31:50.902188+00
64999,BTCUSDT,30m,ohlcv,62285,4,62286,0,ok,"",2026-07-21 14:31:25.878747+00
64998,BTCUSDT,1m,ohlcv,60738,5,60740,0,ok,"",2026-07-21 14:31:01.743214+00
64997,BTCUSDT,1h,ohlcv,31143,3,31143,0,ok,"",2026-07-21 14:30:34.02321+00
64996,BTCUSDT,4h,ohlcv,7786,3,7786,0,ok,"",2026-07-21 14:30:02.319179+00
64995,BTCUSDT,1m,ohlcv,60735,6,60738,0,ok,"",2026-07-21 14:29:27.456627+00
64994,BTCUSDT,1h,ohlcv,31143,3,31143,0,ok,"",2026-07-21 14:28:01.614497+00
64993,BTCUSDT,4h,ohlcv,7786,3,7786,0,ok,"",2026-07-21 14:27:17.212206+00
64992,ETHUSDT,1m,ohlcv,57454,0,0,0,error,"Failed after 6 attempts: HTTPSConnectionPool(host='api.bybit.com', port=443): Max retries exceeded with url: /v5/market/kline?category=linear&symbol=ETHUSDT&interval=1&start=1784638380000&end=1784641989055&limit=1000 (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.bybit.com', port=443) at 0x795febfac8d0>, 'Connection to api.bybit.com timed out. (connect timeout=60)'))",2026-07-21 14:18:12.742101+00
64991,BTCUSDT,1h,ohlcv,31141,0,0,0,error,"Failed after 6 attempts: HTTPSConnectionPool(host='api.bybit.com', port=443): Max retries exceeded with url: /v5/market/kline?category=linear&symbol=BTCUSDT&interval=60&start=1784628000000&end=1784641944459&limit=1000 (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.bybit.com', port=443) at 0x74a8af380dd0>, 'Connection to api.bybit.com timed out. (connect timeout=60)'))",2026-07-21 14:17:29.433676+00
64990,BTCUSDT,1m,ohlcv,60650,0,0,0,error,"Failed after 6 attempts: HTTPSConnectionPool(host='api.bybit.com', port=443): Max retries exceeded with url: /v5/market/kline?category=linear&symbol=BTCUSDT&interval=1&start=1784638680000&end=1784640485053&limit=1000 (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.bybit.com', port=443) at 0x795febfa8490>, 'Connection to api.bybit.com timed out. (connect timeout=60)'))",2026-07-21 13:53:08.875213+00
64989,BTCUSDT,4h,ohlcv,7785,0,0,0,error,"Failed after 6 attempts: HTTPSConnectionPool(host='api.bybit.com', port=443): Max retries exceeded with url: /v5/market/kline?category=linear&symbol=BTCUSDT&interval=240&start=1784592000000&end=1784640437990&limit=1000 (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.bybit.com', port=443) at 0x74a8af392c10>, 'Connection to api.bybit.com timed out. (connect timeout=60)'))",2026-07-21 13:52:23.387306+00
64988,XRPUSDT,15m,ohlcv,124562,6,124565,0,ok,"",2026-07-21 13:13:11.066866+00
64987,BTCUSDT,1m,ohlcv,60650,13,60660,0,quarantined,Data is stale: last candle 3 min ago,2026-07-21 13:13:00.563221+00
64986,DOGEUSDT,1m,ohlcv,60647,12,60656,0,quarantined,Data is stale: last candle 3 min ago,2026-07-21 13:10:52.066345+00
64985,SOLUSDT,15m,ohlcv,124562,6,124565,0,ok,"",2026-07-21 13:08:41.382143+00
64984,BNBUSDT,1m,ohlcv,60646,11,60654,0,quarantined,Data is stale: last candle 3 min ago,2026-07-21 13:08:37.728178+00
64983,XRPUSDT,1m,ohlcv,60645,10,60652,0,quarantined,Data is stale: last candle 2 min ago,2026-07-21 13:06:28.017157+00
64982,SOLUSDT,1m,ohlcv,60644,10,60651,0,ok,"",2026-07-21 13:04:46.814098+00
64981,ETHUSDT,15m,ohlcv,124561,7,124565,0,ok,"",2026-07-21 13:04:31.475091+00
64980,ETHUSDT,1m,ohlcv,57454,9,57460,0,quarantined,Data is stale: last candle 2 min ago,2026-07-21 13:03:15.409915+00
64979,BTCUSDT,1m,ohlcv,60644,9,60650,0,ok,"",2026-07-21 13:01:32.20061+00
64978,BTCUSDT,15m,ohlcv,124561,6,124564,0,ok,"",2026-07-21 13:00:47.513085+00
64977,DOGEUSDT,1m,ohlcv,60641,9,60647,0,ok,"",2026-07-21 13:00:17.306857+00
64976,BNBUSDT,1m,ohlcv,60640,9,60646,0,ok,"",2026-07-21 12:59:03.980738+00
64975,DOGEUSDT,5m,ohlcv,373678,16,373691,0,ok,"",2026-07-21 12:58:34.462945+00
64974,XRPUSDT,1m,ohlcv,60639,9,60645,0,ok,"",2026-07-21 12:58:03.235095+00
64973,SOLUSDT,1m,ohlcv,60638,9,60644,0,ok,"",2026-07-21 12:57:03.109094+00
64972,ETHUSDT,1m,ohlcv,57448,9,57454,0,ok,"",2026-07-21 12:56:02.675211+00
64971,BTCUSDT,1m,ohlcv,60638,8,60643,0,quarantined,Data is stale: last candle 2 min ago,2026-07-21 12:55:02.518253+00
64970,DOGEUSDT,1m,ohlcv,60635,8,60640,0,ok,"",2026-07-21 12:53:58.119946+00
64969,BNBUSDT,1m,ohlcv,60634,8,60639,0,ok,"",2026-07-21 12:52:54.975729+00
64968,XRPUSDT,1m,ohlcv,60632,9,60638,0,ok,"",2026-07-21 12:51:53.164675+00
64967,BNBUSDT,5m,ohlcv,373680,13,373690,0,ok,"",2026-07-21 12:51:43.214337+00
64966,SOLUSDT,1m,ohlcv,60631,9,60637,0,ok,"",2026-07-21 12:50:50.048994+00
64965,ETHUSDT,1m,ohlcv,57441,9,57447,0,ok,"",2026-07-21 12:49:49.429854+00
64964,BTCUSDT,1m,ohlcv,60631,9,60637,0,ok,"",2026-07-21 12:48:45.936357+00
64963,DOGEUSDT,1m,ohlcv,60628,9,60634,0,ok,"",2026-07-21 12:47:44.595226+00
64962,BNBUSDT,1m,ohlcv,60627,9,60633,0,ok,"",2026-07-21 12:46:36.48306+00
64961,XRPUSDT,1m,ohlcv,60626,9,60632,0,ok,"",2026-07-21 12:45:37.295113+00
64960,XRPUSDT,5m,ohlcv,373679,12,373688,0,quarantined,Data is stale: last candle 10 min ago,2026-07-21 12:45:25.712803+00
64959,SOLUSDT,1m,ohlcv,60625,9,60631,0,ok,"",2026-07-21 12:44:33.373326+00
64958,ETHUSDT,1m,ohlcv,57435,9,57441,0,ok,"",2026-07-21 12:43:27.80574+00
64957,BTCUSDT,1m,ohlcv,60625,9,60631,0,ok,"",2026-07-21 12:42:27.875589+00
64956,DOGEUSDT,1m,ohlcv,60622,9,60628,0,ok,"",2026-07-21 12:41:26.558111+00
64955,BNBUSDT,1m,ohlcv,60621,9,60627,0,ok,"",2026-07-21 12:40:17.630089+00
64954,XRPUSDT,1m,ohlcv,60619,10,60626,0,ok,"",2026-07-21 12:39:18.706888+00
64953,SOLUSDT,5m,ohlcv,373678,12,373687,0,ok,"",2026-07-21 12:39:02.528843+00
64952,SOLUSDT,1m,ohlcv,60618,10,60625,0,ok,"",2026-07-21 12:38:12.453684+00
64951,ETHUSDT,1m,ohlcv,57428,10,57435,0,ok,"",2026-07-21 12:37:08.949195+00
64950,BTCUSDT,1m,ohlcv,60618,10,60625,0,ok,"",2026-07-21 12:36:09.274984+00
64949,DOGEUSDT,1m,ohlcv,60615,10,60622,0,ok,"",2026-07-21 12:35:10.285308+00
64948,BNBUSDT,1m,ohlcv,60614,10,60621,0,ok,"",2026-07-21 12:34:06.298162+00
64947,XRPUSDT,1m,ohlcv,60613,9,60619,0,quarantined,Data is stale: last candle 2 min ago,2026-07-21 12:33:07.256197+00
64946,ETHUSDT,5m,ohlcv,373674,15,373686,0,ok,"",2026-07-21 12:32:41.025228+00
64945,SOLUSDT,1m,ohlcv,60612,9,60618,0,ok,"",2026-07-21 12:31:57.122199+00
64944,ETHUSDT,1m,ohlcv,57422,9,57428,0,ok,"",2026-07-21 12:30:50.97832+00
64943,BTCUSDT,1m,ohlcv,60612,9,60618,0,ok,"",2026-07-21 12:29:49.726621+00
64942,DOGEUSDT,1m,ohlcv,60608,10,60615,0,ok,"",2026-07-21 12:28:42.858192+00
64941,BNBUSDT,1m,ohlcv,60607,10,60614,0,ok,"",2026-07-21 12:27:28.892254+00
64940,XRPUSDT,1m,ohlcv,60606,10,60613,0,ok,"",2026-07-21 12:26:25.516048+00
64939,BTCUSDT,5m,ohlcv,373675,12,373684,0,quarantined,Data is stale: last candle 11 min ago,2026-07-21 12:26:09.124908+00
64938,SOLUSDT,1m,ohlcv,60605,10,60612,0,ok,"",2026-07-21 12:25:22.35737+00
64937,ETHUSDT,1m,ohlcv,57415,10,57422,0,ok,"",2026-07-21 12:24:18.94818+00
64936,BTCUSDT,1m,ohlcv,60605,10,60612,0,ok,"",2026-07-21 12:23:12.629253+00
64935,DOGEUSDT,1m,ohlcv,60601,10,60608,0,quarantined,Data is stale: last candle 2 min ago,2026-07-21 12:22:01.54587+00
64934,BNBUSDT,1m,ohlcv,60600,10,60607,0,ok,"",2026-07-21 12:20:52.592158+00
64933,XRPUSDT,1m,ohlcv,60599,10,60606,0,ok,"",2026-07-21 12:19:43.364997+00
64932,DOGEUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-21 12:18:55.897208+00
64931,BNBUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-21 12:18:53.751171+00
64930,XRPUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-21 12:18:51.704856+00
64929,SOLUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-21 12:18:49.657797+00
64928,ETHUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-21 12:18:47.939299+00
64927,BTCUSDT,snapshot,orderbook,,100,,0,ok,"",2026-07-21 12:18:45.899752+00
64926,DOGEUSDT,1h,open_interest_1h,31233,200,31234,0,ok,"",2026-07-21 12:18:44.072784+00
64925,BNBUSDT,1h,open_interest_1h,31233,200,31234,0,ok,"",2026-07-21 12:18:42.46988+00
