id,signal_id,symbol,signal_bar_utc,scan_time_utc,entry_price_planned,entry_price_actual,sl_price,tp_price,qty_contracts,leveraged_notional,confidence,funding_rate_at_entry,oi_delta_at_entry,exit_price,exit_reason,exit_time_utc,bars_held,hours_held,gross_pnl_pct,gross_pnl_usd,entry_fee,exit_fee,fees_total,funding_events,funding_total,slippage_pct,slippage_usd,max_adverse_excursion_pct,max_favorable_excursion_pct,net_pnl_pct,net_pnl_usd,risk_reward_actual,sharpe_contribution,vs_backtest_expectation,status,notes,created_at,updated_at,margin_required,open_fee,close_fee,cumulative_funding,leverage,side,funding_cost,liquidation_price,maintenance_margin,last_funding_settlement_utc,mark_price_at_entry,sl_original,atr_at_entry,entry_rsi,entry_adx,entry_session,entry_strategy,entry_regime,calibrated_prob,bybit_order_id,bybit_qty,bybit_entry_price,bybit_sl_price,bybit_tp_price,bybit_status,bybit_close_price,bybit_pnl_usd,bybit_pnl_pct,bybit_account_balance,bybit_risk_pct,bybit_dollar_risk,bybit_close_time,bybit_close_reason
14,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 11:54:26,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 11:54:36.877306,2026-07-17 11:59:45.52913,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
4,4,SOLUSDT,2026-07-16 21:45:00,2026-07-16 22:06:30,75.86000000,75.86000000,76.08758000,74.87430000,26.3000,7980.47,77,0.0000044800,1.1430,74.79000000,TP_HIT,2026-07-17 02:39:26.625841,,4.55,1.4105,28.14,1.0973,1.0818,2.2238,2,0.0447,0.1000,7.9805,,,5.1847,25.92,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-16 22:06:36.328941,2026-07-17 02:39:26.625841,499.88,0.00,0.00,0.00,4.00,SHORT,0,94.48740000,9.9756,2026-07-17 00:00:00+00,,,0.19710000,53.23,42.32,ny_late,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
1,1,XRPUSDT,2026-07-15 07:00:00,2026-07-15 07:34:51,1.10620000,1.10620000,1.09540000,1.12050000,1807.0000,7995.61,67,0.0001000000,1.9420,1.10430000,TIME_EXIT,2026-07-15 19:39:15.153192,,12.00,-0.1718,-3.43,1.0994,1.0975,2.5975,3,0.4006,0.1000,7.9956,,,-1.2042,-6.03,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-15 07:39:04.407708,2026-07-15 19:39:15.153192,500.83,0.00,0.00,0.00,4.00,LONG,0,0.83460000,9.9945,2026-07-15 16:00:00+00,,,0.00360000,59.84,34.38,london,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
2,2,BTCUSDT,2026-07-16 08:00:00,2026-07-16 08:35:52,63913.00000000,,64679.31790000,62916.78673000,0.0310,7925.21,62,0.0000381000,-2.4540,,PENDING timeout,2026-07-16 18:21:22.303113,,,,,4.3589,4.3589,8.7177,1,0.3020,0.1000,7.9252,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-16 08:36:28.732197,2026-07-16 18:21:22.303113,496.42,0.00,0.00,0.00,4.00,SHORT,0,79606.83720000,9.9065,,,,170.29290000,25.94,26.42,london,trend_following,VOLATILE,0.5000,,,,,,PENDING,,,,,,,,
9,9,ETHUSDT,2026-07-17 05:30:00,2026-07-17 05:48:54,1835.09000000,1835.09000000,1840.59527000,1810.05570000,1.0890,7993.65,74,0.0000453000,-3.9680,1809.11000000,TP_HIT,2026-07-17 13:12:21.056898,,7.39,1.4157,28.29,1.0991,1.0836,2.6349,2,0.4522,0.1000,7.9936,,,5.1243,25.66,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 05:49:01.984803,2026-07-17 13:12:21.056898,500.70,0.00,0.00,0.00,4.00,SHORT,0,2285.69630000,9.9921,2026-07-17 08:00:00+00,,,6.25860000,30.69,39.41,asian,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
12,12,BNBUSDT,2026-07-17 09:45:00,2026-07-17 09:55:36,565.10000000,565.10000000,566.79530000,559.13570000,3.5300,7979.21,77,-0.0000437600,0.4170,558.20000000,TP_HIT,2026-07-17 13:07:36.038143,,3.20,1.2210,24.36,1.0971,1.0837,2.5300,1,0.3492,0.1000,7.9792,,,4.3671,21.83,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 09:55:46.419859,2026-07-17 13:07:36.038143,499.80,0.00,0.00,0.00,4.00,SHORT,0,703.86030000,9.9740,,,,1.19290000,29.27,55.47,london,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
6,6,ETHUSDT,2026-07-17 00:45:00,2026-07-17 00:55:40,1861.43000000,1861.43000000,1867.01429000,1829.55500000,1.0740,7996.70,78,0.0000453000,-4.6880,1824.09000000,TP_HIT,2026-07-17 05:46:29.374438,,4.84,2.0060,40.10,1.0995,1.0775,2.5393,1,0.3623,0.1000,7.9967,,,7.4994,37.56,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 00:55:48.526011,2026-07-17 05:46:29.374438,500.89,0.00,0.00,0.00,4.00,SHORT,0,2318.50410000,9.9959,,,,6.37500000,29.03,32.75,asian,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
5,5,BTCUSDT,2026-07-16 23:30:00,2026-07-16 23:38:35,63787.00000000,63787.00000000,63978.36100000,63455.90710000,0.0310,7909.59,61,0.0000312300,-0.6600,63418.10000000,TP_HIT,2026-07-17 02:11:26.209104,,2.55,0.5783,11.44,1.0876,1.0813,2.4777,2,0.3088,0.1000,7.9096,,,1.8081,8.96,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-16 23:38:42.927189,2026-07-17 02:11:26.209104,495.44,0.00,0.00,0.00,4.00,SHORT,0,79449.89790000,9.8870,2026-07-17 00:00:00+00,,,110.36430000,27.03,30.61,ny_late,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
15,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 11:59:36,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 11:59:46.727678,2026-07-17 12:04:56.613715,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
7,7,BTCUSDT,2026-07-17 02:00:00,2026-07-17 02:12:57,63545.20000000,63545.20000000,63735.83560000,62729.91430000,0.0310,7879.60,79,0.0000117100,-0.3040,62697.00000000,TP_HIT,2026-07-17 06:17:44.87712,,4.08,1.3348,26.29,1.0834,1.0690,2.2447,1,0.0923,0.1000,7.8796,,,4.8727,24.05,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 02:13:04.880647,2026-07-17 06:17:44.87712,493.56,0.00,0.00,0.00,4.00,SHORT,0,79148.72390000,9.8495,,,,163.05710000,25.33,46.42,asian,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
