id,symbol,side,status,confidence,entry_price_actual,sl_price,tp_price,qty_contracts,paper_pnl_usd,paper_pnl_pct,paper_exit_reason,bybit_order_id,bybit_qty,bybit_entry_price,bybit_sl_price,bybit_tp_price,bybit_status,bybit_close_price,bybit_pnl_usd,bybit_pnl_pct,bybit_close_reason,bybit_account_balance,bybit_risk_pct,bybit_dollar_risk
1,XRPUSDT,LONG,CLOSED,67,1.10620000,1.09540000,1.12050000,1807.0000,-6.03,-1.2042,TIME_EXIT,,,,,,PENDING,,,,,,,
2,BTCUSDT,SHORT,EXPIRED,62,,64679.31790000,62916.78673000,0.0310,,,PENDING timeout,,,,,,PENDING,,,,,,,
3,XRPUSDT,LONG,CLOSED,76,1.08810000,1.07110000,1.11640000,1838.0000,-7.58,-1.5120,TIME_EXIT,,,,,,PENDING,,,,,,,
4,SOLUSDT,SHORT,CLOSED,77,75.86000000,76.08758000,74.87430000,26.3000,25.92,5.1847,TP_HIT,,,,,,PENDING,,,,,,,
5,BTCUSDT,SHORT,CLOSED,61,63787.00000000,63978.36100000,63455.90710000,0.0310,8.96,1.8081,TP_HIT,,,,,,PENDING,,,,,,,
6,ETHUSDT,SHORT,CLOSED,78,1861.43000000,1867.01429000,1829.55500000,1.0740,37.56,7.4994,TP_HIT,,,,,,PENDING,,,,,,,
7,BTCUSDT,SHORT,CLOSED,79,63545.20000000,63735.83560000,62729.91430000,0.0310,24.05,4.8727,TP_HIT,,,,,,PENDING,,,,,,,
8,SOLUSDT,SHORT,CLOSED,70,75.22000000,75.44566000,74.08000000,26.5000,31.19,6.2457,TP_HIT,,,,,,PENDING,,,,,,,
9,ETHUSDT,SHORT,CLOSED,74,1835.09000000,1840.59527000,1810.05570000,1.0890,25.66,5.1243,TP_HIT,,,,,,PENDING,,,,,,,
10,BTCUSDT,SHORT,CLOSED,76,62760.00000000,63260.80710000,61925.32140000,0.0310,-18.99,-3.8959,SL_HIT,,,,,,PENDING,,,,,,,
11,XRPUSDT,LONG,CLOSED,78,1.08720000,1.07750000,1.10330000,1839.0000,-22.14,-4.4192,SL_HIT,,,,,,PENDING,,,,,,,
12,BNBUSDT,SHORT,CLOSED,77,565.10000000,566.79530000,559.13570000,3.5300,21.83,4.3671,TP_HIT,,,,,,PENDING,,,,,,,
13,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
14,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
15,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
16,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
17,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
18,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
19,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
20,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
21,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
22,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
23,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
24,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
25,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
26,BTCUSDT,LONG,EXPIRED,66,,62731.93570000,63658.18568000,0.0000,,,,,,,,,PENDING,,,,,,,
27,BTCUSDT,LONG,CLOSED,78,63114.10000000,62760.29290000,63703.77860000,0.0310,-13.16,-2.6847,SL_HIT,,,,,,PENDING,,,,,,,
28,BTCUSDT,SHORT,CLOSED,52,62669.60000000,63102.56430000,62236.63570000,0.0310,-17.69,-3.6351,SL_HIT,,,,,,PENDING,,,,,,,
