symbol,side,total,closed,open,winners,losers,total_pnl_usd,avg_pnl_pct,win_rate_pct,avg_confidence,avg_rsi,avg_rr
BTCUSDT,LONG,18,3,1,2,1,59.34,1.0948,66.67,65.8,73.2,
BTCUSDT,SHORT,7,6,0,2,4,-19.07,-0.6574,33.33,69.9,33.3,
XRPUSDT,LONG,5,5,0,1,4,-73.93,-1.1748,20.00,68.6,51.0,
SOLUSDT,LONG,5,5,0,3,2,-280.95,0.2915,60.00,70.0,64.2,
ETHUSDT,SHORT,4,4,0,2,2,8.26,0.4124,50.00,71.3,38.5,
BNBUSDT,LONG,4,3,0,1,2,-10.95,-0.7282,33.33,62.5,76.3,
SOLUSDT,SHORT,3,3,0,3,0,64.70,4.3166,100.00,66.7,46.5,
ETHUSDT,LONG,3,2,1,1,1,600.32,2.9642,50.00,65.0,56.1,
XRPUSDT,SHORT,1,1,0,0,1,-12.57,-2.5088,0.00,66.0,44.3,
BNBUSDT,SHORT,1,1,0,1,0,21.83,4.3671,100.00,77.0,29.3,
