id,run_time,status,abort_reason,duration_ms,signals_scanned,signals_approved,node_summary,created_at
1,2026-07-15 06:51:44.48651+00,OK,,19240,0,0,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T06:51:25.000610+00:00"", ""upserted"": 0, ""signals_ranked"": 0, ""brain_available"": true, ""signals_scanned"": 0, ""signals_approved"": 0, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""scan"", ""cleanup"", ""pre_flight"", ""gate"", ""unknown"", ""invariants"", ""snapshot"", ""rank"", ""upsert"", ""state""]}}",2026-07-15 06:51:44.487435+00
2,2026-07-15 06:52:22.335638+00,OK,,15782,0,0,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T06:52:06.450557+00:00"", ""upserted"": 0, ""signals_ranked"": 0, ""brain_available"": true, ""signals_scanned"": 0, ""signals_approved"": 0, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""state"", ""snapshot"", ""rank"", ""cleanup"", ""invariants"", ""unknown"", ""upsert"", ""scan"", ""pre_flight"", ""gate""]}}",2026-07-15 06:52:22.336531+00
3,2026-07-15 06:57:28.582793+00,OK,,6181,0,0,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T06:57:22.381583+00:00"", ""upserted"": 0, ""signals_ranked"": 0, ""brain_available"": true, ""signals_scanned"": 0, ""signals_approved"": 0, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""state"", ""snapshot"", ""rank"", ""cleanup"", ""invariants"", ""unknown"", ""upsert"", ""scan"", ""pre_flight"", ""gate""]}}",2026-07-15 06:57:28.582962+00
4,2026-07-15 07:06:29.77041+00,OK,,240953,0,0,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T07:02:28.613458+00:00"", ""upserted"": 0, ""signals_ranked"": 0, ""brain_available"": true, ""signals_scanned"": 0, ""signals_approved"": 0, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""state"", ""snapshot"", ""rank"", ""cleanup"", ""invariants"", ""unknown"", ""upsert"", ""scan"", ""pre_flight"", ""gate""]}}",2026-07-15 07:06:29.774365+00
5,2026-07-15 07:12:03.082189+00,OK,,33147,0,0,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T07:11:29.835654+00:00"", ""upserted"": 0, ""signals_ranked"": 0, ""brain_available"": true, ""signals_scanned"": 0, ""signals_approved"": 0, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""state"", ""snapshot"", ""rank"", ""cleanup"", ""invariants"", ""unknown"", ""upsert"", ""scan"", ""pre_flight"", ""gate""]}}",2026-07-15 07:12:03.082698+00
6,2026-07-15 07:17:17.704295+00,OK,,14465,0,0,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T07:17:03.138838+00:00"", ""upserted"": 0, ""signals_ranked"": 0, ""brain_available"": true, ""signals_scanned"": 0, ""signals_approved"": 0, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""state"", ""snapshot"", ""rank"", ""cleanup"", ""invariants"", ""unknown"", ""upsert"", ""scan"", ""pre_flight"", ""gate""]}}",2026-07-15 07:17:17.704592+00
7,2026-07-15 07:18:34.438537+00,OK,,7626,1,0,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T07:18:26.777558+00:00"", ""upserted"": 0, ""signals_ranked"": 1, ""brain_available"": true, ""signals_scanned"": 1, ""signals_approved"": 0, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""unknown"", ""snapshot"", ""invariants"", ""rank"", ""upsert"", ""pre_flight"", ""gate"", ""cleanup"", ""state"", ""scan""]}}",2026-07-15 07:18:34.438741+00
8,2026-07-15 07:23:45.552882+00,OK,,11011,1,0,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T07:23:34.469267+00:00"", ""upserted"": 0, ""signals_ranked"": 1, ""brain_available"": true, ""signals_scanned"": 1, ""signals_approved"": 0, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""unknown"", ""snapshot"", ""invariants"", ""rank"", ""upsert"", ""pre_flight"", ""gate"", ""cleanup"", ""state"", ""scan""]}}",2026-07-15 07:23:45.553068+00
9,2026-07-15 07:25:11.88745+00,ABORTED,pre_flight_failed,792,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 07:25:11.887611+00
10,2026-07-15 07:39:04.766673+00,OK,,252743,1,1,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T07:34:51.826931+00:00"", ""upserted"": 1, ""signals_ranked"": 1, ""brain_available"": true, ""signals_scanned"": 1, ""signals_approved"": 1, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""upsert"", ""snapshot"", ""cleanup"", ""unknown"", ""state"", ""scan"", ""rank"", ""gate"", ""invariants"", ""pre_flight""]}}",2026-07-15 07:39:04.767474+00
11,2026-07-15 07:49:31.468833+00,OK,,326321,1,0,"{""result"": {""status"": ""OK"", ""run_time"": ""2026-07-15T07:44:04.889353+00:00"", ""upserted"": 0, ""signals_ranked"": 1, ""brain_available"": true, ""signals_scanned"": 1, ""signals_approved"": 0, ""signals_excellent"": 0, ""invariant_breaches"": 0, ""trace_nodes_logged"": [""upsert"", ""snapshot"", ""cleanup"", ""unknown"", ""state"", ""scan"", ""rank"", ""gate"", ""invariants"", ""pre_flight""]}}",2026-07-15 07:49:31.472444+00
12,2026-07-15 07:58:58.711099+00,ABORTED,pre_flight_failed,409,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 07:58:58.711357+00
13,2026-07-15 08:03:59.30623+00,ABORTED,pre_flight_failed,80,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:03:59.306441+00
14,2026-07-15 08:08:59.420301+00,ABORTED,pre_flight_failed,83,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:08:59.420497+00
15,2026-07-15 08:13:59.571552+00,ABORTED,pre_flight_failed,115,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:13:59.571727+00
16,2026-07-15 08:18:59.695761+00,ABORTED,pre_flight_failed,89,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:18:59.695887+00
17,2026-07-15 08:23:59.81182+00,ABORTED,pre_flight_failed,84,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:23:59.811939+00
18,2026-07-15 08:28:59.939091+00,ABORTED,pre_flight_failed,95,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:28:59.939254+00
19,2026-07-15 08:34:00.058661+00,ABORTED,pre_flight_failed,84,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:34:00.058859+00
20,2026-07-15 08:39:00.175072+00,ABORTED,pre_flight_failed,85,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:39:00.175223+00
21,2026-07-15 08:44:00.285416+00,ABORTED,pre_flight_failed,77,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:44:00.285541+00
22,2026-07-15 08:49:00.392258+00,ABORTED,pre_flight_failed,77,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:49:00.39244+00
23,2026-07-15 08:54:00.502248+00,ABORTED,pre_flight_failed,79,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:54:00.502416+00
24,2026-07-15 08:59:00.624186+00,ABORTED,pre_flight_failed,91,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 08:59:00.624389+00
25,2026-07-15 09:04:00.740241+00,ABORTED,pre_flight_failed,84,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:04:00.740421+00
26,2026-07-15 09:09:00.853634+00,ABORTED,pre_flight_failed,83,0,0,"{""result"": {""reason"": ""pre_flight_failed"", ""status"": ""ABORTED""}}",2026-07-15 09:09:00.853758+00
