id,run_time,node,status,duration_ms,in_count,out_count,detail,created_at
11371,2026-07-21 14:30:02.023395+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 14:30:02.553571+00
11370,2026-07-21 14:27:17.740536+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 14:27:19.34408+00
11369,2026-07-21 14:25:45.861379+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 14:25:46.111812+00
11368,2026-07-21 14:20:45.475323+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 14:20:45.668187+00
11367,2026-07-21 14:15:45.323977+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 14:15:45.407354+00
11366,2026-07-21 14:10:45.104984+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 14:10:45.222487+00
11365,2026-07-21 14:05:44.833551+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 14:05:45.006217+00
11364,2026-07-21 14:00:44.680489+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 14:00:44.768629+00
11363,2026-07-21 13:55:44.475506+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 13:55:44.58922+00
11362,2026-07-21 13:50:44.251642+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 13:50:44.378472+00
11361,2026-07-21 13:45:43.988699+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 13:45:44.110483+00
11360,2026-07-21 13:40:43.760325+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 13:40:43.879725+00
11359,2026-07-21 13:35:43.48873+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 13:35:43.61675+00
11358,2026-07-21 13:30:43.011215+00,pre_flight,FAIL,0,0,0,"{""reason"": ""pre_flight_failed""}",2026-07-21 13:30:43.307449+00
11357,2026-07-21 13:09:54.713268+00,invariants,OK,46,0,0,,2026-07-21 13:10:32.900155+00
11356,2026-07-21 13:09:54.713268+00,snapshot,OK,0,1,1,,2026-07-21 13:10:29.695771+00
11355,2026-07-21 13:09:54.713268+00,upsert,OK,0,0,0,,2026-07-21 13:10:29.655747+00
11354,2026-07-21 13:09:54.713268+00,gate,OK,0,2,0,"{""rejected_by_corr"": 2}",2026-07-21 13:10:29.637787+00
11353,2026-07-21 13:09:54.713268+00,rank,OK,103,3,2,,2026-07-21 13:10:29.365845+00
11352,2026-07-21 13:09:54.713268+00,state,OK,86,1,3,,2026-07-21 13:10:29.308757+00
11351,2026-07-21 13:09:54.713268+00,scan,OK,22465,5,1,"{""signals_found"": 1, ""symbols_scanned"": 5}",2026-07-21 13:10:29.029193+00
11350,2026-07-21 13:09:54.713268+00,cleanup,OK,6,0,0,"{""expired"": 0}",2026-07-21 13:10:06.446235+00
11349,2026-07-21 13:09:54.713268+00,unknown,OK,10813,0,0,"{""closed"": 0}",2026-07-21 13:09:55.614854+00
11348,2026-07-21 13:09:54.713268+00,pre_flight,OK,714,0,0,,2026-07-21 13:09:54.881969+00
11347,2026-07-21 13:04:32.425695+00,invariants,OK,10,0,0,,2026-07-21 13:04:54.548747+00
11346,2026-07-21 13:04:32.425695+00,snapshot,OK,0,1,1,,2026-07-21 13:04:52.418266+00
11345,2026-07-21 13:04:32.425695+00,upsert,OK,0,0,0,,2026-07-21 13:04:52.376614+00
11344,2026-07-21 13:04:32.425695+00,gate,OK,0,2,0,"{""rejected_by_corr"": 2}",2026-07-21 13:04:52.369752+00
11343,2026-07-21 13:04:32.425695+00,rank,OK,80,3,2,,2026-07-21 13:04:52.172966+00
11342,2026-07-21 13:04:32.425695+00,state,OK,35,1,3,,2026-07-21 13:04:52.140835+00
11341,2026-07-21 13:04:32.425695+00,scan,OK,13955,5,1,"{""signals_found"": 1, ""symbols_scanned"": 5}",2026-07-21 13:04:52.040857+00
11340,2026-07-21 13:04:32.425695+00,cleanup,OK,9,0,0,"{""expired"": 0}",2026-07-21 13:04:38.027024+00
11339,2026-07-21 13:04:32.425695+00,unknown,OK,5071,0,0,"{""closed"": 0}",2026-07-21 13:04:32.93923+00
11338,2026-07-21 13:04:32.425695+00,pre_flight,OK,404,0,0,,2026-07-21 13:04:32.524412+00
11337,2026-07-21 12:59:15.185449+00,invariants,OK,10,0,0,,2026-07-21 12:59:32.337745+00
11336,2026-07-21 12:59:15.185449+00,snapshot,OK,0,1,1,,2026-07-21 12:59:30.583048+00
11335,2026-07-21 12:59:15.185449+00,upsert,OK,0,0,0,,2026-07-21 12:59:30.559137+00
11334,2026-07-21 12:59:15.185449+00,gate,OK,0,2,0,"{""rejected_by_corr"": 2}",2026-07-21 12:59:30.550515+00
11333,2026-07-21 12:59:15.185449+00,rank,OK,19,3,2,,2026-07-21 12:59:30.470364+00
11332,2026-07-21 12:59:15.185449+00,state,OK,20,1,3,,2026-07-21 12:59:30.45637+00
11331,2026-07-21 12:59:15.185449+00,scan,OK,10353,5,1,"{""signals_found"": 1, ""symbols_scanned"": 5}",2026-07-21 12:59:30.390927+00
11330,2026-07-21 12:59:15.185449+00,cleanup,OK,6,0,0,"{""expired"": 0}",2026-07-21 12:59:19.99604+00
11329,2026-07-21 12:59:15.185449+00,unknown,OK,4464,0,0,"{""closed"": 0}",2026-07-21 12:59:15.51786+00
11328,2026-07-21 12:59:15.185449+00,pre_flight,OK,238,0,0,,2026-07-21 12:59:15.2743+00
11327,2026-07-21 12:53:57.742847+00,invariants,OK,17,0,0,,2026-07-21 12:54:15.014363+00
11326,2026-07-21 12:53:57.742847+00,snapshot,OK,0,1,1,,2026-07-21 12:54:13.288664+00
11325,2026-07-21 12:53:57.742847+00,upsert,OK,0,0,0,,2026-07-21 12:54:13.236434+00
11324,2026-07-21 12:53:57.742847+00,gate,OK,0,2,0,"{""rejected_by_corr"": 2}",2026-07-21 12:54:13.220939+00
11323,2026-07-21 12:53:57.742847+00,rank,OK,26,3,2,,2026-07-21 12:54:13.12809+00
11322,2026-07-21 12:53:57.742847+00,state,OK,21,1,3,,2026-07-21 12:54:13.10519+00
11321,2026-07-21 12:53:57.742847+00,scan,OK,10933,5,1,"{""signals_found"": 1, ""symbols_scanned"": 5}",2026-07-21 12:54:13.035085+00
11320,2026-07-21 12:53:57.742847+00,cleanup,OK,4,0,0,"{""expired"": 0}",2026-07-21 12:54:02.054831+00
11319,2026-07-21 12:53:57.742847+00,unknown,OK,4106,0,0,"{""closed"": 0}",2026-07-21 12:53:57.932625+00
11318,2026-07-21 12:53:57.742847+00,pre_flight,OK,117,0,0,,2026-07-21 12:53:57.817383+00
11317,2026-07-21 12:48:40.277847+00,invariants,OK,11,0,0,,2026-07-21 12:48:57.592879+00
11316,2026-07-21 12:48:40.277847+00,snapshot,OK,0,1,1,,2026-07-21 12:48:55.943944+00
11315,2026-07-21 12:48:40.277847+00,upsert,OK,0,0,0,,2026-07-21 12:48:55.920215+00
11314,2026-07-21 12:48:40.277847+00,gate,OK,0,2,0,"{""rejected_by_corr"": 2}",2026-07-21 12:48:55.914847+00
11313,2026-07-21 12:48:40.277847+00,rank,OK,41,3,2,,2026-07-21 12:48:55.809912+00
