id,symbol,trade_id,entry_price,sl_price,qty_contracts,dollar_risk,risk_pct_of_account,is_open,opened_at,closed_at,created_at
35,ETHUSDT,51,1931.31000000,1916.66640000,4.2430,62.13,0.60,t,2026-07-21 11:39:56.700243,,2026-07-21 11:39:56.700243
34,BTCUSDT,50,66307.00000000,65947.07140000,0.1006,36.20,0.36,t,2026-07-21 10:11:26.927551,,2026-07-21 10:11:26.927551
33,SOLUSDT,49,77.64000000,76.88110000,279.8000,212.34,2.10,f,2026-07-20 20:36:44.598029,2026-07-21 10:36:38.318065,2026-07-20 20:36:44.598029
32,BTCUSDT,48,65449.00000000,64797.64290000,0.0930,60.58,0.60,f,2026-07-20 18:04:11.843765,2026-07-21 08:04:02.938901,2026-07-20 18:04:11.843765
31,SOLUSDT,47,77.05000000,76.30890000,517.0000,383.15,3.85,f,2026-07-20 11:49:47.674724,2026-07-20 14:07:12.223045,2026-07-20 11:49:47.674724
30,ETHUSDT,46,1866.48000000,1860.88056000,16.0000,89.59,2.10,f,2026-07-20 11:33:56.824091,2026-07-20 17:58:45.04074,2026-07-20 11:33:56.824091
29,XRPUSDT,45,1.09440000,1.08670000,23481.0000,180.80,1.80,f,2026-07-19 16:04:06.155703,2026-07-20 11:17:58.887401,2026-07-19 16:04:06.155703
28,BTCUSDT,44,64383.80000000,64712.30000000,0.0310,10.18,0.10,f,2026-07-19 13:56:52.393394,2026-07-20 11:17:58.887401,2026-07-19 13:56:52.393394
27,BNBUSDT,43,567.30000000,565.59810000,3.5200,5.99,0.07,f,2026-07-19 09:32:01.408642,2026-07-19 11:26:49.81756,2026-07-19 09:32:01.408642
26,BNBUSDT,41,569.20000000,567.44290000,3.5100,6.17,0.06,f,2026-07-19 07:54:32.320072,2026-07-19 09:21:38.16908,2026-07-19 07:54:32.320072
25,SOLUSDT,40,75.97000000,75.74209000,26.3000,5.99,0.13,f,2026-07-19 02:42:24.518322,2026-07-19 17:43:34.358134,2026-07-19 02:42:24.518322
24,XRPUSDT,39,1.09160000,1.08832520,1832.0000,6.00,0.12,f,2026-07-18 22:50:15.206801,2026-07-19 02:37:12.599008,2026-07-18 22:50:15.206801
23,SOLUSDT,38,75.27000000,75.04419000,26.5000,5.98,0.18,f,2026-07-18 19:24:14.050827,2026-07-19 02:37:12.599008,2026-07-18 19:24:14.050827
22,ETHUSDT,37,1860.64000000,1881.29180000,1.0740,22.18,0.22,f,2026-07-18 18:37:50.851644,2026-07-20 11:17:58.887401,2026-07-18 18:37:50.851644
21,BTCUSDT,36,64322.20000000,64129.23340000,0.0310,5.98,0.08,f,2026-07-18 17:51:23.603332,2026-07-18 20:26:01.308685,2026-07-18 17:51:23.603332
20,BTCUSDT,35,63980.40000000,64262.03570000,0.0310,8.73,0.09,f,2026-07-18 13:24:08.260534,2026-07-18 16:59:45.181859,2026-07-18 13:24:08.260534
19,XRPUSDT,34,1.08820000,1.09350000,1837.0000,9.74,0.10,f,2026-07-18 12:12:02.84956,2026-07-18 17:51:17.799237,2026-07-18 12:12:02.84956
18,BNBUSDT,33,569.70000000,567.99090000,3.5100,6.00,0.07,f,2026-07-18 12:12:00.552389,2026-07-19 04:14:34.666145,2026-07-18 12:12:00.552389
17,SOLUSDT,32,74.91000000,75.13473000,26.6000,5.98,0.10,f,2026-07-18 07:20:11.800589,2026-07-18 13:24:04.00317,2026-07-18 07:20:11.800589
16,ETHUSDT,31,1846.86000000,1838.69790000,1.0820,8.83,0.09,f,2026-07-18 06:08:41.87416,2026-07-18 13:18:55.7845,2026-07-18 06:08:41.87416
15,SOLUSDT,30,75.30000000,74.89290000,26.5000,10.79,0.11,f,2026-07-18 02:34:25.528202,2026-07-18 05:43:10.450691,2026-07-18 02:34:25.528202
14,ETHUSDT,29,1807.56000000,1837.23110000,1.1060,32.82,0.32,f,2026-07-17 13:47:43.308758,2026-07-17 16:50:56.136034,2026-07-17 13:47:43.308758
13,BTCUSDT,28,62669.60000000,63102.56430000,0.0310,13.42,0.13,f,2026-07-17 13:42:35.686771,2026-07-17 14:02:58.797694,2026-07-17 13:42:35.686771
12,BTCUSDT,27,63114.10000000,62760.29290000,0.0310,10.97,0.11,f,2026-07-17 13:06:49.646238,2026-07-17 13:37:25.61283,2026-07-17 13:06:49.646238
11,BNBUSDT,12,565.10000000,566.79530000,3.5300,5.98,0.13,f,2026-07-17 10:00:55.541741,2026-07-17 13:11:53.126303,2026-07-17 10:00:55.541741
10,XRPUSDT,11,1.08720000,1.07750000,1839.0000,17.84,0.18,f,2026-07-17 09:40:17.216375,2026-07-17 13:06:44.354862,2026-07-17 09:40:17.216375
9,BTCUSDT,10,62760.00000000,63260.80710000,0.0310,15.53,0.15,f,2026-07-17 06:25:04.271638,2026-07-17 11:49:21.649894,2026-07-17 06:25:04.271638
8,ETHUSDT,9,1835.09000000,1840.59527000,1.0890,6.00,0.20,f,2026-07-17 05:54:10.606557,2026-07-17 13:16:59.638973,2026-07-17 05:54:10.606557
7,SOLUSDT,8,75.22000000,75.44566000,26.5000,5.98,0.23,f,2026-07-17 03:55:48.338003,2026-07-17 13:11:53.126303,2026-07-17 03:55:48.338003
6,BTCUSDT,7,63545.20000000,63735.83560000,0.0310,5.91,0.15,f,2026-07-17 02:18:13.337028,2026-07-17 06:19:49.700417,2026-07-17 02:18:13.337028
5,ETHUSDT,6,1861.43000000,1867.01429000,1.0740,6.00,0.21,f,2026-07-17 01:00:57.129581,2026-07-17 05:48:57.691583,2026-07-17 01:00:57.129581
4,BTCUSDT,5,63787.00000000,63978.36100000,0.0310,5.93,0.10,f,2026-07-16 23:43:50.448025,2026-07-17 02:13:00.661562,2026-07-16 23:43:50.448025
3,SOLUSDT,4,75.86000000,76.08758000,26.3000,5.99,0.16,f,2026-07-16 22:11:41.508829,2026-07-17 02:43:53.173394,2026-07-16 22:11:41.508829
2,XRPUSDT,3,1.08810000,1.07110000,1838.0000,31.25,0.31,f,2026-07-16 18:52:36.605109,2026-07-17 06:50:45.585033,2026-07-16 18:52:36.605109
1,XRPUSDT,1,1.10620000,1.09540000,1807.0000,19.52,0.20,f,2026-07-15 07:46:34.682903,2026-07-16 08:35:53.287719,2026-07-15 07:46:34.682903
