id,signal_id,symbol,signal_bar_utc,first_seen_utc,last_updated_utc,current_dqs,current_ranker_score,current_entry,current_sl,current_tp,risk_pct,prev_dqs,prev_ranker_score,dqs_delta,consecutive_improvements,consecutive_declines,runs_tracked,trajectory_bonus,adjusted_score,status,expiry_reason,created_at,updated_at,side,strategy,session
964,,SOLUSDT,2026-07-20 15:45:00,2026-07-20 16:08:16.960562,2026-07-20 17:11:31.494451,53,53,77.68000000,76.80290000,80.24568000,0.60,53,53,0,0,1,13,0,53,EXPIRED,Auto-expired by cleanup job,2026-07-20 16:08:30.253745,2026-07-20 19:12:21.860556,LONG,trend_following,ny_open
1204,,XRPUSDT,2026-07-21 11:45:00,2026-07-21 03:49:54.763857,2026-07-21 12:16:47.912735,52,52,1.13560000,1.14030000,1.12880000,1.80,85,85,-33,0,2,70,-10,42,EXPIRED,DQS declined 2 consecutive runs,2026-07-21 12:17:03.515132,2026-07-21 12:17:03.515132,SHORT,mean_reversion,london
1048,,SOLUSDT,2026-07-21 03:30:00,2026-07-21 03:44:38.09637,2026-07-21 03:55:11.732585,54,54,78.21000000,77.57790000,80.10640000,0.60,54,54,0,0,0,3,0,54,EXPIRED,Auto-expired by cleanup job,2026-07-21 03:44:52.838243,2026-07-21 05:57:02.935268,LONG,trend_following,asian
1079,,BTCUSDT,2026-07-21 05:30:00,2026-07-21 06:07:34.937113,2026-07-21 06:55:17.178142,52,52,65559.10000000,65239.63570000,66325.81432000,0.60,52,52,0,0,0,10,0,52,EXPIRED,Auto-expired by cleanup job,2026-07-21 06:07:49.612848,2026-07-21 08:56:41.5158,LONG,trend_following,asian
1202,,BTCUSDT,2026-07-21 11:45:00,2026-07-21 10:10:13.119866,2026-07-21 12:32:45.01633,59,59,66318.60000000,66034.72500000,66999.90000000,0.60,59,59,0,0,2,16,-10,49,EXPIRED,DQS declined 2 consecutive runs,2026-07-21 12:17:03.47119,2026-07-21 12:33:00.21483,LONG,trend_following,london
1203,,ETHUSDT,2026-07-21 11:45:00,2026-07-21 11:18:44.931714,2026-07-21 12:32:45.01633,57,57,1935.61000000,1923.29710000,1958.34144000,0.60,57,57,0,0,1,15,0,57,ACTIVE,,2026-07-21 12:17:03.495992,2026-07-21 12:33:00.257825,LONG,trend_following,london
1000,,XRPUSDT,2026-07-20 19:00:00,2026-07-20 18:19:45.693941,2026-07-20 20:20:42.583974,97,97,1.11470000,1.12400000,1.09230000,0.00,97,97,0,1,0,24,0,97,EXPIRED,Replaced by newer signal_bar,2026-07-20 19:23:02.564999,2026-07-20 20:26:10.753598,SHORT,trend_following,overlap
1112,,XRPUSDT,2026-07-21 07:45:00,2026-07-21 03:49:54.763857,2026-07-21 09:01:54.423621,100,100,1.13460000,1.14840000,1.10145000,0.00,100,100,0,2,0,49,0,100,EXPIRED,Replaced by newer signal_bar,2026-07-21 08:04:14.173735,2026-07-21 09:23:06.671192,SHORT,mean_reversion,london
1113,,BNBUSDT,2026-07-21 07:45:00,2026-07-21 08:04:01.085849,2026-07-21 09:01:54.423621,57,57,576.40000000,578.21430000,571.86430000,0.60,57,57,0,0,0,12,0,57,EXPIRED,Replaced by newer signal_bar,2026-07-21 08:04:14.20947,2026-07-21 10:10:34.14927,SHORT,trend_following,london
896,,ETHUSDT,2026-07-20 09:45:00,2026-07-20 11:28:26.252096,2026-07-20 11:33:40.611389,68,68,1866.48000000,1853.38570000,1897.90632000,2.10,68,68,0,0,0,2,0,68,EXPIRED,Auto-expired by cleanup job,2026-07-20 11:28:37.551231,2026-07-20 13:35:27.45188,LONG,trend_following,london
