id,signal_id,symbol,run_time,run_number,dqs,ranker_score,entry,sl,tp,risk_pct,status,trajectory,delta,created_at
1,,XRPUSDT,2026-07-15 07:18:26.777558,1,67,67,1.10620000,1.09540000,1.12050000,2.10,ACTIVE,STABLE,0,2026-07-15 07:18:34.231461
2,,XRPUSDT,2026-07-15 07:23:34.469267,2,67,67,1.10620000,1.09540000,1.12050000,2.10,ACTIVE,STABLE,0,2026-07-15 07:23:45.163858
3,,XRPUSDT,2026-07-15 07:34:51.826931,3,67,67,1.10620000,1.09540000,1.12050000,2.10,ACTIVE,STABLE,0,2026-07-15 07:39:04.152484
4,,XRPUSDT,2026-07-15 07:44:04.889353,4,67,67,1.10620000,1.09540000,1.12050000,2.10,ACTIVE,STABLE,0,2026-07-15 07:49:30.842905
5,,BTCUSDT,2026-07-16 08:35:52.767849,1,62,62,63913.00000000,64679.31790000,62916.78673000,0.60,ACTIVE,STABLE,0,2026-07-16 08:36:28.485418
6,,XRPUSDT,2026-07-16 18:47:26.81606,1,76,76,1.08810000,1.07110000,1.12489000,22.50,ACTIVE,STABLE,0,2026-07-16 18:47:32.131898
7,,XRPUSDT,2026-07-16 18:52:32.262316,2,76,76,1.08810000,1.07110000,1.12489000,22.50,ACTIVE,STABLE,0,2026-07-16 18:52:37.394831
8,,XRPUSDT,2026-07-16 18:57:37.495083,3,78,78,1.08810000,1.07110000,1.12489000,22.50,ACTIVE,IMPROVING,2,2026-07-16 18:57:43.669372
9,,XRPUSDT,2026-07-16 19:02:43.815432,4,78,78,1.08810000,1.07110000,1.12489000,22.50,ACTIVE,STABLE,0,2026-07-16 19:02:50.69742
10,,XRPUSDT,2026-07-16 19:07:50.864539,5,78,78,1.08810000,1.07110000,1.12489000,22.50,ACTIVE,STABLE,0,2026-07-16 19:07:57.358915
11,,XRPUSDT,2026-07-16 19:12:57.491608,6,76,76,1.08810000,1.07110000,1.12489000,22.50,ACTIVE,DECLINING,-2,2026-07-16 19:13:03.319124
