id,trade_id,symbol,log_type,logged_at,price,btc_price,btc_24h_ret,symbol_24h_ret,correlation_vs_btc,rsi_15m,adx_4h,atr_15m,ema_20,ema_50,volume_ratio,funding_rate,oi_delta_pct,ob_spread_pct,ob_imbalance,liquidation_side,session,market_regime,dqs_score,dqs_breakdown,calibrated_prob,brain_prob,ai_interpretation,failure_category,suggested_fix
1,1,XRPUSDT,EXIT,2026-07-15 19:39:15.170768+00,1.10430000,64606.00000000,-0.0065,-0.0046,,59.84,34.38,0.003586,,,,0.000100,1.9420,0.0090,11.8444,,london,,67,,0.5000,,,TIMING,Wait for ADX >= 25 and RSI >= 30 before entry; tighten entry timing
2,4,SOLUSDT,EXIT,2026-07-17 02:39:26.646512+00,74.79000000,63430.10000000,-0.0063,-0.0082,,53.23,42.32,0.197143,,,,0.000004,1.1430,0.0132,13.4209,,ny_late,,77,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
3,6,ETHUSDT,EXIT,2026-07-17 05:46:29.391928+00,1824.09000000,62889.80000000,-0.0100,-0.0147,,29.03,32.75,6.375000,,,,0.000045,-4.6880,0.0005,41.6703,,asian,,78,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
4,3,XRPUSDT,EXIT,2026-07-17 06:47:45.236844+00,1.08550000,62847.70000000,0.0004,0.0056,,27.58,32.30,0.005664,,,,0.000100,-0.4260,0.0092,-48.7000,,overlap,,76,,0.5000,,,TIMING,Wait for ADX >= 25 and RSI >= 30 before entry; tighten entry timing
5,11,XRPUSDT,EXIT,2026-07-17 13:01:36.122408+00,1.07650000,63073.00000000,-0.0034,-0.0064,,68.72,37.98,0.003221,,,,-0.000034,-12.9330,0.0092,-24.3225,,london,,78,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
6,8,SOLUSDT,EXIT,2026-07-17 13:07:06.041633+00,73.95000000,62931.30000000,-0.0049,-0.0103,,50.48,36.68,0.285000,,,,-0.000048,-1.4770,0.0133,3.4881,,asian,,70,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
7,12,BNBUSDT,EXIT,2026-07-17 13:07:36.055752+00,558.20000000,62931.30000000,-0.0049,-0.0103,,29.27,55.47,1.192857,,,,-0.000044,0.4170,0.0177,-5.3199,,london,,77,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
8,9,ETHUSDT,EXIT,2026-07-17 13:12:21.079139+00,1809.11000000,62783.50000000,-0.0071,-0.0147,,30.69,39.41,6.258571,,,,0.000045,-3.9680,0.0005,55.1348,,asian,,74,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
9,29,ETHUSDT,EXIT,2026-07-17 16:48:39.252848+00,1838.39000000,63599.50000000,0.0074,0.0090,,19.80,30.46,6.593571,,,,0.000012,-4.0090,0.0006,-28.3601,,ny_open,,72,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
10,30,SOLUSDT,EXIT,2026-07-18 05:42:06.198273+00,74.89000000,63929.00000000,0.0001,-0.0019,,67.37,25.02,0.135714,,,,-0.000012,0.2170,0.0133,8.3103,,asian,,67,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
11,31,ETHUSDT,EXIT,2026-07-18 13:14:27.419019+00,1838.60000000,63965.90000000,-0.0021,-0.0039,,60.61,45.88,2.720714,,,,0.000018,-7.2600,0.0005,58.9491,,asian,,64,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
12,32,SOLUSDT,EXIT,2026-07-18 13:20:27.529594+00,74.54000000,63971.40000000,-0.0016,-0.0039,,35.79,30.13,0.122857,,,,-0.000012,-0.0060,0.0133,-18.4531,,london,,53,,0.5000,,,UNKNOWN,Review raw DQS breakdown and macro context for edge cases
