id,trade_id,symbol,event_type,event_time,price_at_event,balance_before,balance_after,margin_delta,fee_applied,pnl_delta,running_pnl,detail
73,49,SOLUSDT,CLOSE,2026-07-21 10:31:31.957116+00,78.36000000,10170.2900,15787.1335,-5442.8700,12.058820,173.9735,,"{""netPct"": 3.1963555918109323, ""reason"": ""TIME_EXIT"", ""grossUsd"": 201.45599999999968, ""hoursHeld"": ""14.00""}"
72,49,SOLUSDT,FUNDING_SETTLEMENT,2026-07-21 08:00:13.958571+00,78.55000000,,,0.0000,1.770571,-1.7706,,"{""rate"": 0.00008056, ""sign"": -1, ""windowStart"": ""2026-07-21T08:00:00.000Z""}"
71,48,BTCUSDT,CLOSE,2026-07-21 07:58:58.981119+00,66197.40000000,10105.3700,11693.8834,-1525.0400,3.385997,63.4734,,"{""netPct"": 4.162081190657259, ""reason"": ""TIME_EXIT"", ""grossUsd"": 69.60119999999945, ""hoursHeld"": ""14.00""}"
70,48,BTCUSDT,FUNDING_SETTLEMENT,2026-07-21 00:00:08.962964+00,65149.20000000,,,0.0000,0.605888,-0.6059,,"{""rate"": 0.0001, ""sign"": -1, ""windowStart"": ""2026-07-21T00:00:00.000Z""}"
69,49,SOLUSDT,FUNDING_SETTLEMENT,2026-07-21 00:00:08.93975+00,77.81000000,,,0.0000,1.753891,-1.7539,,"{""rate"": 0.00008056, ""sign"": -1, ""windowStart"": ""2026-07-21T00:00:00.000Z""}"
68,46,ETHUSDT,CLOSE,2026-07-20 17:56:03.729447+00,1906.85000000,9490.3300,17584.2420,-7482.3500,16.780280,611.5620,,"{""netPct"": 8.173394989542032, ""reason"": ""TP_HIT"", ""grossUsd"": 645.9199999999983, ""hoursHeld"": ""6.46""}"
67,46,ETHUSDT,FUNDING_SETTLEMENT,2026-07-20 16:00:02.254953+00,1902.23000000,,,0.0000,0.234050,0.2341,,"{""rate"": -0.00000769, ""sign"": 1, ""windowStart"": ""2026-07-20T16:00:00.000Z""}"
66,47,SOLUSDT,CLOSE,2026-07-20 14:02:15.937175+00,76.23259110,9938.3900,19449.2672,-9980.6200,21.676737,-469.7428,,"{""netPct"": -4.706549679070909, ""reason"": ""SL_HIT"", ""grossUsd"": -422.600401300002, ""hoursHeld"": ""2.30""}"
65,37,ETHUSDT,CLOSE,2026-07-20 11:15:15.090448+00,1875.26000000,16918.3900,17400.5426,-500.6800,1.107716,-18.5274,,"{""netPct"": -3.7004466090117205, ""reason"": ""TIME_EXIT"", ""grossUsd"": -15.701879999999884, ""hoursHeld"": ""40.71""}"
64,44,BTCUSDT,CLOSE,2026-07-20 11:15:14.921198+00,64393.60000000,16422.4200,16918.3924,-500.0700,1.097911,-4.0976,,"{""netPct"": -0.819407458955719, ""reason"": ""TIME_EXIT"", ""grossUsd"": -0.3037999999998647, ""hoursHeld"": ""21.39""}"
