id,timestamp,score,confidence,performance_layer,risk_layer,growth_layer
45c98c6e-edb1-4180-9deb-6990f3b6f02f,2026-07-05 00:32:10.563069+00,30.81,0,30.71,51.5,0
f3542dbc-fd00-419d-82b4-c3b6084ab685,2026-07-05 01:24:11.659437+00,36.73,0,30.98,70.78,0
342ed67f-7f48-49d4-8b41-db4ebe65a345,2026-07-05 02:22:01.581726+00,36.73,0,30.98,70.78,0
37df0a83-8990-4a98-9fd1-ee367dc13c67,2026-07-05 11:32:49.388029+00,36.73,0,30.98,70.78,0
05ac79fa-9671-4c39-8511-547580c79003,2026-07-06 14:04:08.778802+00,36.73,0,30.98,70.78,0
26f7f931-01d3-4688-93e6-a60d7c7f69a4,2026-07-06 14:24:57.476488+00,16.24,0.53,7.47,25,25
2fb37577-3023-4cc9-b6fb-dd2d3e6af93a,2026-07-06 14:25:12.404318+00,20.86,0.5,7.24,40.81,25
221f3606-c3f9-4260-ac39-19fdd6ed7162,2026-07-06 16:12:13.45033+00,38.41,0,31.8,62.52,18.75
97da20a4-9d5a-4e4e-ac43-bed123c4f050,2026-07-07 04:33:35.947284+00,38.41,0,31.67,64.16,16.67
02c4c9bc-71e5-4088-92b2-7c804eaca1ee,2026-07-07 06:19:37.149349+00,23.14,0.33,6.97,52.2,20
34374ae9-3b1b-4d58-9cf0-d5671f81c5d0,2026-07-07 10:21:03.051108+00,23.14,0.33,6.97,52.2,20
2be9cddf-dbfe-435b-aaa7-f6bef0992f0b,2026-07-07 11:43:21.30129+00,23.14,0.33,6.97,52.2,20
2b2af7eb-b7a8-49d1-a19c-d73187c2b3a8,2026-07-07 12:10:07.680778+00,23.54,0.26,6.83,54.96,18.18
30c53566-99f9-4a90-8493-cb8966d68ea6,2026-07-07 12:10:37.626289+00,38.11,0,31.71,63.08,16.67
f76cb013-be39-4c19-a3d1-bae93405ff3b,2026-07-07 12:15:07.371959+00,22.77,0.35,6.96,51.48,19.23
5629f136-6d7c-4959-80a3-d69c990ddee2,2026-07-07 14:37:24.49899+00,23.04,0.31,6.89,53.41,17.86
13303e73-9ceb-4017-ad87-2d770e36aed0,2026-07-07 15:25:10.398189+00,37.57,0,31.84,61.05,16.67
50e0726c-93f9-4ee5-931d-9247fdc96783,2026-07-07 15:36:25.577492+00,37.76,0,31.73,62.56,15.63
a5c8e3c1-5db5-4ce3-87f0-ad30383b00e6,2026-07-08 01:37:06.933195+00,37.78,0,31.67,63.34,14.71
16db3c0a-c4de-40b4-87aa-9d1c2209b697,2026-07-08 02:36:38.230786+00,37.78,0,31.63,63.96,13.89
8d601139-7917-40f3-807d-3faf5ba53a0c,2026-07-08 07:06:16.326551+00,22.34,0.36,6.88,52.46,15.79
aad8a6e3-eba1-4af1-9fb7-bec1de6130c9,2026-07-08 08:22:19.259586+00,22.55,0.32,6.82,53.82,15
4e8d8405-2891-4aae-8f6d-58f6306241b0,2026-07-08 08:27:48.59706+00,22.59,0.3,6.79,54.46,14.29
a2796a41-6f31-4e4f-b007-67d23eed69cd,2026-07-08 08:28:32.86634+00,21.66,0.43,6.97,49.96,15.91
ef6aca78-13c8-451b-bfd4-82737aa69c7a,2026-07-08 17:42:12.204611+00,21.66,0.43,6.97,49.96,15.91
82451d03-ebb7-4e47-9cf2-85d4f11942dc,2026-07-09 08:52:50.21096+00,22.04,0.37,6.89,52.24,14.59
583c1650-aebb-4698-ad08-d108f8c3d591,2026-07-09 18:11:44.48303+00,36.63,0,31.86,59.68,14
2105527e-9a35-4cd5-b4d7-87375b188466,2026-07-09 20:12:16.557221+00,36.65,0,31.84,60.14,13.46
a170daf2-5b33-476b-92d1-cb0c9f7a7a8b,2026-07-10 00:44:36.802864+00,36.54,0,31.86,60.05,12.97
8b33e7f4-37ec-482a-91e1-2aab3840cc6d,2026-07-10 04:54:11.235647+00,21.65,0.41,6.96,51.04,14.29
f32659a8-c332-45e5-9b27-6f0e9f19152f,2026-07-10 13:53:06.238321+00,36.49,0,31.88,59.32,13.8
81e74f0e-b954-4e6d-a9ee-c9074e2d49e9,2026-07-10 14:05:06.486437+00,36.61,0,31.84,60.08,13.34
963a270c-703b-490f-a0cc-dc50cf1dfb08,2026-07-10 15:00:52.578254+00,36.52,0,31.86,60.04,12.91
743d04a3-cc73-45b1-957b-52a8fa97aa1d,2026-07-10 18:25:18.285667+00,36.52,0,31.86,60.04,12.91
8c06c3f0-0238-4bfb-93f8-f9964d7386af,2026-07-15 06:50:52.305396+00,19.66,0.57,7.09,43.94,14.71
f61131d4-25e6-477e-a015-5362768dbc1d,2026-07-15 19:39:15.267148+00,31.47,0,32.05,51.5,0
b0a67e4a-0c5e-40ee-ab65-992ac7854dbd,2026-07-16 07:44:15.035863+00,31.47,0,32.05,51.5,0
6e9387aa-4d5e-4174-bfc3-57c48e2753f3,2026-07-16 08:10:44.921237+00,31.47,0,32.05,51.5,0
d5efaff9-e242-40a8-96fd-cb695955df64,2026-07-16 09:03:25.688452+00,31.47,0,32.05,51.5,0
cf0e14ee-c762-4a6c-ad15-e45b98b1beb3,2026-07-16 18:27:05.496491+00,31.47,0,32.05,51.5,0
de82f2bb-99b7-482b-a7e4-2c3d1d1ad175,2026-07-17 02:11:26.382393+00,24.45,0.48,17.09,36.36,25
50d7384f-c14a-4638-92c4-480918e730b2,2026-07-17 02:39:26.748461+00,42.79,0,35.46,61.32,33.34
d72a843e-2f89-431d-86b8-c1fe3c2e47ef,2026-07-17 05:46:29.484601+00,48.09,0,42.04,65.22,37.5
b2e9cd7b-d664-4ec5-a353-a2e4671f104e,2026-07-17 06:17:45.027342+00,49.93,0,43.99,66.44,40
c46a434c-5c76-46c5-964e-1466694bf02b,2026-07-17 06:47:45.323552+00,45.98,0,39.76,64.78,33.34
2a0af1ab-adc5-4494-a088-85870f0d7072,2026-07-17 11:46:04.928006+00,41.17,0,34.52,60.66,28.57
20d3244a-73b0-48b1-9418-929947c8c74f,2026-07-17 13:01:36.275341+00,36.35,0,31.46,52.07,25
af7dfe4a-4dae-4ff4-b163-7738b73dd086,2026-07-17 13:07:06.126309+00,27.29,0.14,10.76,54.51,27.78
5bad5fee-a29f-4301-ac0c-6df6ec3d3c2c,2026-07-17 13:07:36.137937+00,28.99,0.1,13.4,54.28,30
a6730422-7338-4061-b9cc-b4060161fe4c,2026-07-17 13:12:21.173195+00,31.55,0.07,21.51,48.11,31.82
5688eef6-7735-4fce-be01-22814047f24e,2026-07-17 13:34:36.648913+00,29.48,0.17,17.63,49.45,29.17
22b89ab4-924f-4c99-9ca3-93808267fcc1,2026-07-17 14:00:36.902978+00,26.4,0.2,10.3,52.88,26.93
6c2810bf-2379-406c-ae25-d3a52b001ad2,2026-07-17 16:48:39.336244+00,21.66,0.48,8.85,40.77,25
6bbfe2fa-9cca-458a-b022-403937441602,2026-07-18 05:42:06.281527+00,29.96,0,30.2,33.97,23.34
da85a385-862e-4896-84b3-6ee71332d125,2026-07-18 13:14:27.49951+00,26.81,0,28.83,26.73,21.88
893275ed-8d7c-4474-ba88-5ca879c9cbb1,2026-07-18 13:20:27.612167+00,16.36,0.55,8.31,25,23.53
1c0170cf-875d-4d90-9741-a440c2ffc142,2026-07-18 16:57:16.639547+00,26.39,0.04,28.2,26.17,22.22
2b5725a4-d808-4f0c-adb0-84fbeff798a5,2026-07-18 17:49:16.683766+00,23.28,0.32,24.61,22.54,21.06
a58a6f4b-e98a-4046-8b90-624b0c9f510e,2026-07-18 20:22:48.966154+00,15.95,0.57,7.91,25,22.5
ae4a9a70-4c8f-4ac9-9875-ce1f3c64d7f5,2026-07-19 02:35:39.498006+00,17.78,0.57,8.38,29.43,23.81
89b342fa-87ac-438a-8ee8-cd690e84cdcd,2026-07-19 02:36:09.536724+00,19.69,0.54,8.53,34.73,25
f124fb7f-b250-47fb-a095-acfbe9b37997,2026-07-19 04:11:56.053796+00,17.45,0.57,8.37,28.27,23.92
00e9d1cc-7f1c-4e32-b3ec-b02dddd31e36,2026-07-19 09:17:00.379888+00,16.18,0.57,8.19,25,22.92
bb628c2d-41bf-48de-acb2-9d0edd80e0e9,2026-07-19 11:25:02.711971+00,16.45,0.55,8.29,25,24
dabb5e8e-bc77-46ed-ba0b-c09b4005fc3e,2026-07-19 15:39:44.06312+00,16.45,0.55,8.29,25,24
5dc13577-362c-4cd9-bb28-5c3cbbcb03bb,2026-07-19 16:22:46.484224+00,16.45,0.55,8.29,25,24
7ddf19ec-fb64-4fa4-8249-d1854a70c5e4,2026-07-19 16:37:31.326954+00,16.63,0.53,8.27,25,25
0f56f358-bec9-4ac5-8612-24a2460371c5,2026-07-19 16:58:04.124629+00,16.63,0.53,8.27,25,25
55cb8f62-a542-4ace-8a07-769751b19a5e,2026-07-20 11:15:15.295243+00,30.15,0,32.44,31.5,22.42
ffaa6105-c428-4050-b6eb-c059af03e50b,2026-07-20 14:02:16.184281+00,35.09,0,31.27,50.4,21.67
041ae3e6-3c9a-4fdd-a9e9-3b8f15e9d61b,2026-07-20 17:56:03.961856+00,16,0.56,7.97,25,22.58
418fab5e-0623-4648-abaa-2f1e53f21c0c,2026-07-21 07:58:59.307576+00,16.75,0.55,10.51,22.68,23.44
757b855b-cd5c-4580-924c-9cbd8ff11453,2026-07-21 10:31:32.106461+00,18.15,0.5,15.78,18.04,24.24
6be07c89-6eb5-41c2-b4e7-5303bb185a45,2026-07-21 13:27:15.055705+00,18.15,0.5,15.78,18.04,24.24
c453107d-0170-4ddf-a4fc-01890166edfe,2026-07-21 14:26:54.626305+00,18.15,0.5,15.78,18.04,24.24
90bb0a39-4449-430b-a2d2-abb1dbf6325b,2026-07-21 14:29:54.237185+00,18.15,0.5,15.78,18.04,24.24
