id,scan_time_utc,symbol,last_bar_utc,current_price,rsi_15m_now,adx_4h_now,atr_15m_now,session_now,h4_direction,h4_ema_trend,regime,signal_type,quality,gates_passed,sl_level,tp_level,notes,created_at,gate_session_ok,gate_adx_ok,gate_direction_ok,gate_rsi_ok,gate_bull_4h_ok
1205,2026-07-21 12:22:05.778349,BTCUSDT,2026-07-21 11:45:00,66318.60000000,58.36,57.92,113.55000000,london,UP,BULL,PULLBACK,CONFIRMED,HIGH,3/4,66034.72500000,66999.90000000,DQS=60 | tech=41 struct=50 ctx=95,2026-07-21 12:22:24.710043,t,t,t,f,t
1216,2026-07-21 13:04:32.425695,BTCUSDT,2026-07-21 12:00:00,66386.10000000,57.27,52.29,113.28571429,overlap,UP,BULL,PULLBACK,OFF_SESSION,MONITOR,2/4,66102.88570000,67065.81432000,DQS=57 | tech=41 struct=58 ctx=80,2026-07-21 13:04:52.071598,f,t,t,f,t
1209,2026-07-21 12:32:45.01633,BTCUSDT,2026-07-21 11:45:00,66318.60000000,58.36,57.92,113.55000000,london,UP,BULL,PULLBACK,CONFIRMED,HIGH,3/4,66034.72500000,66999.90000000,DQS=60 | tech=41 struct=50 ctx=95,2026-07-21 12:33:00.187281,t,t,t,f,t
1212,2026-07-21 12:43:21.590125,BTCUSDT,2026-07-21 12:00:00,66386.10000000,57.27,52.29,113.28571429,overlap,UP,BULL,PULLBACK,OFF_SESSION,MONITOR,2/4,66102.88570000,67065.81432000,DQS=57 | tech=41 struct=58 ctx=80,2026-07-21 12:43:38.211737,f,t,t,f,t
1214,2026-07-21 12:53:57.742847,BTCUSDT,2026-07-21 12:00:00,66386.10000000,57.27,52.29,113.28571429,overlap,UP,BULL,PULLBACK,OFF_SESSION,MONITOR,2/4,66102.88570000,67065.81432000,DQS=57 | tech=41 struct=58 ctx=80,2026-07-21 12:54:13.058826,f,t,t,f,t
1211,2026-07-21 12:38:02.965841,BTCUSDT,2026-07-21 12:00:00,66386.10000000,57.27,52.29,113.28571429,overlap,UP,BULL,PULLBACK,OFF_SESSION,MONITOR,2/4,66102.88570000,67065.81432000,DQS=56 | tech=41 struct=54 ctx=80,2026-07-21 12:38:19.013408,f,t,t,f,t
1213,2026-07-21 12:48:40.277847,BTCUSDT,2026-07-21 12:00:00,66386.10000000,57.27,52.29,113.28571429,overlap,UP,BULL,PULLBACK,OFF_SESSION,MONITOR,2/4,66102.88570000,67065.81432000,DQS=57 | tech=41 struct=58 ctx=80,2026-07-21 12:48:55.73444,f,t,t,f,t
1207,2026-07-21 12:27:27.138282,BTCUSDT,2026-07-21 11:45:00,66318.60000000,58.36,57.92,113.55000000,london,UP,BULL,PULLBACK,CONFIRMED,HIGH,3/4,66034.72500000,66999.90000000,DQS=60 | tech=41 struct=50 ctx=95,2026-07-21 12:27:42.959249,t,t,t,f,t
1215,2026-07-21 12:59:15.185449,BTCUSDT,2026-07-21 12:00:00,66386.10000000,57.27,52.29,113.28571429,overlap,UP,BULL,PULLBACK,OFF_SESSION,MONITOR,2/4,66102.88570000,67065.81432000,DQS=57 | tech=41 struct=58 ctx=80,2026-07-21 12:59:30.409834,f,t,t,f,t
1217,2026-07-21 13:09:54.713268,BTCUSDT,2026-07-21 12:00:00,66386.10000000,57.27,52.29,113.28571429,overlap,UP,BULL,PULLBACK,OFF_SESSION,MONITOR,2/4,66102.88570000,67065.81432000,DQS=57 | tech=41 struct=58 ctx=80,2026-07-21 13:10:29.116846,f,t,t,f,t
